scenario,phase,montage,rr_percent,Z_ohm,delta_Z_from_phase00_ohm,max_relative_residual
gabriel_myocardium,phase_01,tepc_7,23.0,2.087728006665354,0.005459304285556854,7.34710320309559e-12
gabriel_myocardium,phase_01,ttrkg,23.0,229.05549640311858,0.0031871077931953096,1.2248120319634481e-10
gabriel_blood,phase_01,tepc_2,23.0,97.6238623969864,0.39833151842984194,2.7813133491049742e-11
gabriel_blood,phase_01,tepc_3,23.0,28.879577660294395,-0.0007926810501253101,4.7670408974959355e-11
gabriel_blood,phase_01,tepc_4,23.0,60.188497928009824,0.4442203959051767,2.116698179936564e-11
gabriel_blood,phase_01,tepc_5,23.0,64.87434730635948,1.0438412250523257,1.9057628512813475e-11
gabriel_blood,phase_01,tepc_6,23.0,11.185637140508382,0.15917142760929437,8.284148051740753e-12
gabriel_blood,phase_01,tepc_7,23.0,1.5507227437091275,0.02537381772129832,7.219147443325932e-12
gabriel_blood,phase_01,ttrkg,23.0,227.9851053592257,-0.00709689637375277,1.5282432213068872e-10
lf_mean_myocardium,phase_01,tepc_2,23.0,108.63175125037702,0.06025884494599154,2.6697090924638463e-11
lf_mean_myocardium,phase_01,tepc_3,23.0,34.553452814001886,0.004359963267788203,5.4092629659417065e-11
lf_mean_myocardium,phase_01,tepc_4,23.0,70.7266701793329,0.14738855506178083,2.64608844605504e-11
lf_mean_myocardium,phase_01,tepc_5,23.0,75.75911547816277,0.36093639467829064,1.855029153922849e-11
lf_mean_myocardium,phase_01,tepc_6,23.0,15.727758961350295,0.07016103709704957,1.2047996635205749e-11
lf_mean_myocardium,phase_01,tepc_7,23.0,2.5333322196317773,0.01001159025373255,1.0154016960811592e-11
lf_mean_myocardium,phase_01,ttrkg,23.0,235.18640022085145,-0.0013691155842252556,1.6059583178827432e-10
lf_mean_blood,phase_01,tepc_2,23.0,102.78652759285289,0.42442173120566906,2.2382671612091864e-11
lf_mean_blood,phase_01,tepc_3,23.0,33.426848559481584,-0.006533671557235721,4.4503235454245466e-11
lf_mean_blood,phase_01,tepc_4,23.0,63.85195889730791,0.46623583847947003,1.959778688046909e-11
lf_mean_blood,phase_01,tepc_5,23.0,68.53616719909053,1.353367587960804,1.5725146776323154e-11
lf_mean_blood,phase_01,tepc_6,23.0,13.084733023962091,0.17892499081396984,1.2429542626406483e-11
lf_mean_blood,phase_01,tepc_7,23.0,1.9121047104931508,0.03784446952723641,1.081130691595203e-11
lf_mean_blood,phase_01,ttrkg,23.0,234.27911247407573,-0.014223888530352724,1.209593788232481e-10
gabriel_myocardium,phase_02,tepc_2,33.0,103.13274845438407,0.07715482868381685,2.8363458940349324e-11
gabriel_myocardium,phase_02,tepc_3,33.0,30.188078265356143,0.011734136992458843,3.729602115670016e-11
gabriel_myocardium,phase_02,tepc_4,33.0,66.6729750048301,0.21203709390449887,2.2516131562675484e-11
gabriel_myocardium,phase_02,tepc_5,33.0,71.93668300983818,0.43689468002396836,2.5310780200695567e-11
gabriel_myocardium,phase_02,tepc_6,33.0,13.986338072031641,0.12057219792806073,9.263407927842074e-12
gabriel_myocardium,phase_02,tepc_7,33.0,2.093139564556771,0.010870862176973972,6.895972795495162e-12
gabriel_myocardium,phase_02,ttrkg,33.0,229.05839785449393,0.006088559168546226,1.6968301150760547e-10
gabriel_blood,phase_02,tepc_2,33.0,97.93459813727821,0.7090672587216602,2.4032079524834742e-11
gabriel_blood,phase_02,tepc_3,33.0,28.913521456186533,0.033151114842013385,4.92102624360661e-11
gabriel_blood,phase_02,tepc_4,33.0,60.56137155293406,0.8170940208294155,3.067950021249903e-11
gabriel_blood,phase_02,tepc_5,33.0,65.46617802727226,1.6356719459651075,1.478235206986922e-11
gabriel_blood,phase_02,tepc_6,33.0,11.323962277892278,0.29749656499319066,1.2747187523236382e-11
gabriel_blood,phase_02,tepc_7,33.0,1.5656863071051483,0.040337381117319104,7.0207227624605655e-12
gabriel_blood,phase_02,ttrkg,33.0,228.02162421914693,0.029421963547463292,1.50649730512752e-10
lf_mean_myocardium,phase_02,tepc_2,33.0,108.65916571667884,0.08767331124781208,2.1928653475326405e-11
lf_mean_myocardium,phase_02,tepc_3,33.0,34.554477894863425,0.005385044129326388,4.096630211037284e-11
lf_mean_myocardium,phase_02,tepc_4,33.0,70.8204811054125,0.24119948114137912,2.653486153976416e-11
lf_mean_myocardium,phase_02,tepc_5,33.0,75.95683145277887,0.5586523692943928,2.281249177751912e-11
lf_mean_myocardium,phase_02,tepc_6,33.0,15.778797995398458,0.12120007114521236,8.598973344968472e-12
lf_mean_myocardium,phase_02,tepc_7,33.0,2.539367514561799,0.016046885183754078,8.53369067309542e-12
lf_mean_myocardium,phase_02,ttrkg,33.0,235.18872359290958,0.0009542564739035697,1.724691858740887e-10
lf_mean_blood,phase_02,tepc_2,33.0,103.11441780637318,0.7523119447259603,2.1644313609008134e-11
lf_mean_blood,phase_02,tepc_3,33.0,33.445945543437986,0.012563312399166193,5.30498548029046e-11
lf_mean_blood,phase_02,tepc_4,33.0,64.24859198323496,0.86286892440652,2.1202122070796242e-11
lf_mean_blood,phase_02,tepc_5,33.0,69.13776191601458,1.9549623048848588,1.7008766470822745e-11
lf_mean_blood,phase_02,tepc_6,33.0,13.185404471188544,0.2795964380404232,8.71150018893276e-12
lf_mean_blood,phase_02,tepc_7,33.0,1.9299853293668923,0.055725088400977896,7.82992718436143e-12
lf_mean_blood,phase_02,ttrkg,33.0,234.31136656825362,0.018030205647534103,1.2336270554099065e-10
gabriel_myocardium,phase_03,tepc_2,43.0,103.12622490173257,0.07063127603231578,2.3669608568446418e-11
gabriel_myocardium,phase_03,tepc_3,43.0,30.186730197876816,0.010386069513131702,4.237314458425348e-11
gabriel_myocardium,phase_03,tepc_4,43.0,66.68581807386288,0.22488016293726787,2.8050692779243116e-11
