case_id,state,frequency_hz,fat_factor,free_parameters,synthetic,rho1,rho2,rho3_fat,rho_bone,rho_heart,rmse_ohm,max_residual_ohm,bound_rho1,bound_rho2,bound_rho3,condition_number,smin_ohm,quadrature_max_difference_ohm,quadrature_within_tolerance,bound_expansions,stop_reason,two_start_log_difference,exitflag,iterations,vector_evaluations,CEM_solves,seconds,max_relative_residual,max_reciprocity_ohm
exhale_f50000_fat100_p2_s0,exhale,50000,1,2,0,3.78691657525389,99.9999999993781,23.1086075206695,48.4451260579635,5.11678442048387,9.91963524953623,22.3350312891318,0,1,0,153.594677748521,1.22337491168694,0.0732721889302184,1,0,user_numeric_boundary_reached,8.28914714645634e-12,2,13,26,234,416.8130682,9.65485195655727e-10,1.13686837721616e-13
exhale_f100000_fat100_p2_s0,exhale,100000,1,2,0,3.78904649725745,99.9999999973845,23.040605218284,48.0976735255785,4.64880905754772,9.91417373816016,22.3242141129592,0,1,0,153.506221248268,1.22374671809431,0.0729495860759926,1,0,user_numeric_boundary_reached,2.15047979423844e-11,3,12,23,207,384.9228766,1.23708947114694e-09,1.13686837721616e-13
exhale_f50000_fat075_p2_s0,exhale,50000,0.75,2,0,3.9668472237912,99.9999999848283,17.3314556405021,48.4451260579635,5.11678442048387,9.12234077708002,20.4193740587126,0,1,0,148.230652719448,1.2413266026503,0.0460867944909751,1,0,user_numeric_boundary_reached,2.61060750794684e-09,3,9,22,198,333.8893185,1.11969153120752e-09,8.5265128291212e-14
exhale_f50000_fat125_p2_s0,exhale,50000,1.25,2,0,3.669826847442,99.9999999999528,28.8857594008369,48.4451260579635,5.11678442048387,10.5066278525171,23.6859912883728,0,1,0,157.954444579106,1.20770905374191,0.0998688553048339,1,0,user_numeric_boundary_reached,1.78348447121834e-11,3,11,22,198,344.8765956,8.40322539735278e-10,7.105427357601e-14
exhale_f50000_fat100_p3_s0,exhale,50000,1,3,0,17.0568135379655,0.100000000001388,2.13593668523172,48.4451260579635,5.11678442048387,4.75029075187199,9.11143208280633,0,1,0,396.27728379311,0.404458656240157,0.0119836632192261,1,0,user_numeric_boundary_reached,1.02158281833908e-11,2,19,40,360,720.2538095,7.66313897889098e-10,1.13686837721616e-13
