case_id,rank_three,condition_two,condition_three,rho2_gain_fixed_fat_per_ohm,rho2_gain_free_fat_per_ohm,rho2_gain_ratio,singular_min_three_ohm
inhale_f50000_fat100_p2_s0,3,146.53639157550435,277.43875162081184,0.7448552110147668,1.3871642489237728,1.862327373710583,0.716586722202326
inhale_f100000_fat100_p2_s0,3,146.45447227778206,277.5204918479841,0.7446438535859,1.3879118416432377,1.8638599311061554,0.7162060459248765
inhale_f50000_fat075_p2_s0,3,141.40226650360069,284.50761233811744,0.7341528542116249,1.4485431396470811,1.9730811251869464,0.6868020499574577
inhale_f50000_fat125_p2_s0,3,150.7165694607929,261.4000743842726,0.7546535309977777,1.289853011096533,1.7091989344979708,0.7702353520550093
inhale_f50000_fat100_p3_s0,3,66.12783749569452,487.4791174098472,1.0148099012886573,2.7860449556900195,2.745386059154683,0.3578309947970298
inhale_f50000_fat100_p3_s1,3,33.632435015955664,65.56697006225406,0.18242445445120148,0.3168629949509264,1.7369545980234093,2.8427122670046945
exhale_f50000_fat100_p2_s0,3,153.59467774852118,286.2458707250591,0.8173803172052134,1.4997720445931815,1.8348521649275844,0.6630000731668516
exhale_f100000_fat100_p2_s0,3,153.50622124826762,286.35523277731215,0.8171319295782392,1.50070745682724,1.8365546645592796,0.6625909502130038
exhale_f50000_fat075_p2_s0,3,148.23065271944822,296.6822574290743,0.8055547530618695,1.5827661441447682,1.964815101802529,0.6287204029269083
exhale_f50000_fat125_p2_s0,3,157.9544445791063,267.8762335989068,0.8279863088534171,1.3850759503567764,1.6728247019866895,0.7175828482992811
exhale_f50000_fat100_p3_s0,3,67.33883310657976,396.27728379310514,0.9266381873672773,2.465058061348822,2.6602163551584614,0.4044586562401627
