case_id,L_mm,dZ_dlnrho1,dZ_dlnrho2,dZ_dlnrho3
exhale_f50000_fat100_p2_s0,50,85.5165173532132,0.203004776403995,19.1024727740212
exhale_f50000_fat100_p2_s0,60,86.7935369057949,0.326826690387635,14.5592991544234
exhale_f50000_fat100_p2_s0,70,63.9063804166988,0.386395144092135,6.7730571610082
exhale_f50000_fat100_p2_s0,80,64.6397717394695,0.489640697732896,8.85750508521052
exhale_f50000_fat100_p2_s0,90,53.9665107455717,0.58690754076145,5.07096627518912
exhale_f50000_fat100_p2_s0,110,53.2637923383512,0.778509148942887,6.32019930873582
exhale_f50000_fat100_p2_s0,120,48.8836189479401,0.892239719499478,4.11382925381477
exhale_f50000_fat100_p2_s0,130,45.6463566917314,0.919117306122187,3.89457480787344
exhale_f50000_fat100_p2_s0,140,44.4307464400718,1.00549693351087,2.35360909188885
exhale_f100000_fat100_p2_s0,50,85.4804480196218,0.20311883539537,19.1261565962652
exhale_f100000_fat100_p2_s0,60,86.7624545131075,0.326979886830874,14.5894200804783
exhale_f100000_fat100_p2_s0,70,63.8957543109693,0.386585210017449,6.79220043988666
exhale_f100000_fat100_p2_s0,80,64.6290455736781,0.489899253489413,8.86909783946922
exhale_f100000_fat100_p2_s0,90,53.964857999795,0.587200779463914,5.07639007319749
exhale_f100000_fat100_p2_s0,110,53.25242143787,0.778846858209541,6.32631040701606
exhale_f100000_fat100_p2_s0,120,48.8723792840078,0.892619711762983,4.12073344181244
exhale_f100000_fat100_p2_s0,130,45.6324194583448,0.919459290591496,3.90121598442461
exhale_f100000_fat100_p2_s0,140,44.4177840702777,1.00585550677883,2.35962142680454
exhale_f50000_fat075_p2_s0,50,81.5158934040779,0.212679015206192,21.1576407454586
exhale_f50000_fat075_p2_s0,60,83.3420694744554,0.339270744944889,17.2850508785832
exhale_f50000_fat075_p2_s0,70,62.7675125986665,0.40236414908929,8.6167018647824
exhale_f50000_fat075_p2_s0,80,63.8207122398608,0.511215216459022,9.94201981445161
exhale_f50000_fat075_p2_s0,90,54.2720107018937,0.611672836804445,5.69735892574674
exhale_f50000_fat075_p2_s0,110,53.0492048625535,0.808804625956492,7.00881545436454
exhale_f50000_fat075_p2_s0,120,48.9615427010118,0.927845537785893,4.94300672354303
exhale_f50000_fat075_p2_s0,130,45.6556381999456,0.955659842237568,4.70553593510135
exhale_f50000_fat075_p2_s0,140,44.8230864008385,1.04751135130712,3.17476473138941
exhale_f50000_fat125_p2_s0,50,88.5059628775383,0.195746715070819,17.4872264734784
exhale_f50000_fat125_p2_s0,60,89.2303817888295,0.317443131846691,12.4287446705469
exhale_f50000_fat125_p2_s0,70,64.6127048105283,0.374419931669502,5.42201706484192
exhale_f50000_fat125_p2_s0,80,65.3283222614089,0.473457831092479,8.01847433053088
exhale_f50000_fat125_p2_s0,90,53.7705804807396,0.568297465996636,4.68821962315899
exhale_f50000_fat125_p2_s0,110,53.4682447764393,0.755959082139005,5.85626183289913
exhale_f50000_fat125_p2_s0,120,48.7876124357277,0.865672081269453,3.58205888551026
exhale_f50000_fat125_p2_s0,130,45.6005602394994,0.891825769445015,3.36443468977007
exhale_f50000_fat125_p2_s0,140,44.049572652112,0.97446762404715,1.8664912376011
exhale_f50000_fat100_p3_s0,50,23.2170300023755,0.171390389387425,66.8381384493888
exhale_f50000_fat100_p3_s0,60,25.735895403294,0.265877443433361,67.2363996166843
exhale_f50000_fat100_p3_s0,70,23.6467596816321,0.335262824831498,52.2858599528454
exhale_f50000_fat100_p3_s0,80,26.4799075477678,0.441802551568196,53.5659816851301
exhale_f50000_fat100_p3_s0,90,25.9774648864378,0.539685719050806,45.4372095778847
exhale_f50000_fat100_p3_s0,110,24.7818095134507,0.770035184652419,39.1701528022601
exhale_f50000_fat100_p3_s0,120,23.7192700405095,0.927715490415803,32.9711813601105
exhale_f50000_fat100_p3_s0,130,21.8282016574904,0.995616274257761,28.4941963905986
exhale_f50000_fat100_p3_s0,140,22.0100568939619,1.17633107022776,25.4424603913084
