frequency_hz,state,comparison,delta_logrho1,delta_logrho2,small_step_under_0_1,unexplained_rmse_ohm,condition_number
50000,exhale,omit_bone,0.002032400411830612,0.32046175696104795,False,0.02519153678631577,34.31464206230617
50000,exhale,omit_heart_after_bone,-6.764591000416392e-05,0.012554564207953428,True,0.0011799061874396808,32.40364531777274
50000,exhale,omit_both,0.0019619755317138695,0.3339635480829209,False,0.02397362394996948,34.31464206230617
50000,inhale,omit_bone,0.001830900903907868,0.5808000096610645,False,0.01962123832979496,54.05600280416251
50000,inhale,omit_heart_after_bone,-0.00012178899359602259,0.027297809148762533,True,0.0021689882584288753,49.00693805338998
50000,inhale,omit_both,0.0017090383662241675,0.6114857045347802,False,0.01756173693850617,54.05600280416251
100000,exhale,omit_bone,0.002040215534765231,0.31976387404377155,False,0.024624224267891494,34.212833339113786
100000,exhale,omit_heart_after_bone,-6.0436576328609574e-05,0.011216211397291242,True,0.0010249799100389618,32.31838440135992
100000,exhale,omit_both,0.001977259300092467,0.33182298161116675,False,0.0235652532257767,34.212833339113786
100000,inhale,omit_bone,0.0018355231883333573,0.5748470654504955,False,0.019175793441052573,53.52605251158248
100000,inhale,omit_heart_after_bone,-0.00010856359490217845,0.02418606761133192,True,0.0018791302350468126,48.55506303074236
100000,inhale,omit_both,0.0017268328709792416,0.6020188429661333,False,0.017386224186666625,53.52605251158248
