request_id,kind,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,dZ_dlogrho_bone,dZ_dlogrho_heart,relative_residual,reciprocity_abs
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,50,49.1093526097317,48.5602292929972,0.322554714365443,0,0,1.89916411832869e-10,7.105427357601e-15
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,60,48.4304395080948,48.4079438240025,0.499419399531053,0,0,2.48636204350294e-10,0
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,70,37.4886462774982,36.9212356762981,0.601205166564451,0,0,2.40811851334824e-10,2.8421709430404e-14
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,80,38.8551682040107,38.064208575341,0.774489578947684,0,0,2.62681924355391e-10,7.105427357601e-15
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,90,33.2399725477074,32.2599719071606,0.91978861616079,0,0,3.49016784840616e-10,1.4210854715202e-14
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,110,31.1875995950673,30.2368421712247,1.21406433105729,0,0,5.09538737563466e-10,0
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,120,28.7967074796332,27.3667818079239,1.40803016516488,0,0,4.87250174636784e-10,3.5527136788005e-15
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,130,26.5351141041081,25.0943540476825,1.46023343282383,0,0,4.30087171020089e-10,3.5527136788005e-15
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,140,25.7664242954956,24.1823009650653,1.63259516497989,0,0,5.4832951504346e-10,1.4210854715202e-14
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,50,49.3568965099514,48.7433143363869,0.364475039839368,0.0226220798107638,0,1.46675317226889e-10,1.4210854715202e-14
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,60,48.7988908630088,48.6798746209429,0.563224486968461,0.0334805777493809,0,2.00572262547953e-10,2.8421709430404e-14
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,70,37.9206691078222,37.2387269391756,0.677266463096728,0.0392747710902942,0,1.84857350871618e-10,2.8421709430404e-14
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,80,39.3947522369569,38.4566839699868,0.871248732934285,0.048853348586026,0,1.47657120993939e-10,1.4210854715202e-14
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,90,33.8638244330066,32.7130389170453,1.03354381699273,0.0564508990434953,0,1.86039249098526e-10,1.4210854715202e-14
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,110,31.9633776324578,30.7942948237741,1.36396385494962,0.0698364483644886,0,2.69158152798545e-10,3.5527136788005e-15
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,120,29.6646769660354,27.9813284946977,1.58277083692701,0.0777464270047599,0,2.67270611970956e-10,3.5527136788005e-15
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,130,27.4171581669137,25.7113875293942,1.64563686088833,0.0786514725971144,0,2.93410140854312e-10,7.105427357601e-15
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,140,26.7346555419536,24.8543649981525,1.84364515616234,0.0858489048741163,0,3.25387520529629e-10,1.06581410364015e-14
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,50,49.3634814314353,48.7383015423997,0.366239930994148,0.0226839838089101,0.00978413738246395,1.3882967108064e-10,0
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,60,48.8093913088346,48.6718778528214,0.566062461393705,0.0335774428616818,0.0155928829914032,2.26642368692166e-10,2.8421709430404e-14
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,70,37.9337388079925,37.2287124234263,0.680847332446393,0.0393958482687602,0.0194183637083774,2.02173103051245e-10,1.4210854715202e-14
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,80,39.4122081608226,38.4432022000404,0.876055015863142,0.0490124490723978,0.0259217371520735,2.15168466721555e-10,1.4210854715202e-14
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,90,33.8852660072479,32.6964354398314,1.03953503901046,0.0566463627269642,0.0318510962588359,1.90171186416514e-10,2.1316282072803e-14
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,110,31.9944637583594,30.7700102772708,1.37292967652269,0.0701171550998755,0.0461887664464982,2.50872096293412e-10,3.5527136788005e-15
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,120,29.7032907340914,27.9509222371591,1.59404674115266,0.0780905113945151,0.0573551096544387,4.33175895222944e-10,7.105427357601e-15
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,130,27.4596960722713,25.6775068107246,1.65839203866631,0.0790293391236706,0.0632053472574634,4.18461136126186e-10,3.5527136788005e-15
50000_inhale_bones_heart,literature,50000,inhale,bones_heart,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,140,26.7859127405722,24.81351842496,1.85919308346263,0.0862986837184508,0.0761411129019378,4.26324777456211e-10,0
50000_exhale_two_tissue,literature,50000,exhale,two_tissue,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,50,48.7368502529641,48.0452656744998,0.464609403606876,0,0,1.01565795266235e-10,0
