request_id,kind,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,dZ_dlogrho_bone,dZ_dlogrho_heart,relative_residual,reciprocity_abs,Z_experiment,residual_ohm,residual_pct
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,50,49.1093526097317,48.5602292929972,0.322554714365443,0.0,0.0,1.89916411832869e-10,7.105427357601e-15,85.689,-36.57964739026829,-42.68884849895353
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,60,48.4304395080948,48.4079438240025,0.499419399531053,0.0,0.0,2.48636204350294e-10,0.0,101.102,-52.671560491905204,-52.097446630042135
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,70,37.4886462774982,36.9212356762981,0.601205166564451,0.0,0.0,2.40811851334824e-10,2.8421709430404e-14,88.678,-51.1893537225018,-57.72497544205079
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,80,38.8551682040107,38.064208575341,0.774489578947684,0.0,0.0,2.62681924355391e-10,7.105427357601e-15,83.943,-45.087831795989295,-53.712437959078535
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,90,33.2399725477074,32.2599719071606,0.91978861616079,0.0,0.0,3.49016784840616e-10,1.4210854715202e-14,74.573,-41.33302745229259,-55.426263463039696
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,110,31.1875995950673,30.2368421712247,1.21406433105729,0.0,0.0,5.09538737563466e-10,0.0,65.581,-34.393400404932706,-52.4441536495825
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,120,28.7967074796332,27.3667818079239,1.40803016516488,0.0,0.0,4.87250174636784e-10,3.5527136788005e-15,62.821,-34.0242925203668,-54.16069868414511
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,130,26.5351141041081,25.0943540476825,1.46023343282383,0.0,0.0,4.30087171020089e-10,3.5527136788005e-15,60.925,-34.389885895891894,-56.44626326777496
50000_inhale_two_tissue,literature,50000,inhale,two_tissue,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,140,25.7664242954956,24.1823009650653,1.63259516497989,0.0,0.0,5.483295150434601e-10,1.4210854715202e-14,50.103,-24.3365757045044,-48.573090841874546
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,50,49.3568965099514,48.7433143363869,0.364475039839368,0.0226220798107638,0.0,1.46675317226889e-10,1.4210854715202e-14,85.689,-36.332103490048596,-42.39996206053122
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,60,48.7988908630088,48.6798746209429,0.563224486968461,0.0334805777493809,0.0,2.0057226254795301e-10,2.8421709430404e-14,101.102,-52.3031091369912,-51.73301135189334
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,70,37.9206691078222,37.2387269391756,0.677266463096728,0.0392747710902942,0.0,1.84857350871618e-10,2.8421709430404e-14,88.678,-50.7573308921778,-57.23779391977469
50000_inhale_bones,literature,50000,inhale,bones,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,80,39.3947522369569,38.4566839699868,0.871248732934285,0.048853348586026,0.0,1.47657120993939e-10,1.4210854715202e-14,83.943,-44.5482477630431,-53.06963983065068
