frequency_hz,state,L_mm,bones,bones_heart,two_tissue,bone_delta_ohm,heart_after_bone_delta_ohm,both_delta_ohm,bone_delta_pct,heart_after_bone_delta_pct
50000,exhale,50,48.9485890650066,48.9529676082627,48.7368502529641,0.21173881204249767,0.0043785432561023185,0.2161173552986,0.43445321341754134,0.008945187879240719
50000,exhale,60,48.1679528953955,48.1749191740566,47.8541589382042,0.3137939571913009,0.006966278661096226,0.3207602358523971,0.655729750880199,0.014462476070396071
50000,exhale,70,37.1612203294338,37.1698625588266,36.7946424479319,0.36657788150190385,0.008642229392798129,0.375220110894702,0.9962805917210589,0.023256043036759454
50000,exhale,80,38.4170955952422,38.4286261504777,37.9611445517818,0.45595104346040216,0.011530555235495399,0.46748159869589756,1.201099305207859,0.030014125370069387
50000,exhale,90,32.7032423155135,32.7173528152934,32.1782424043396,0.5249999111739001,0.014110499779903307,0.5391104109538034,1.6315369390812282,0.043147097293193104
50000,exhale,110,30.4275278862488,30.4478216666687,29.7845196952256,0.6430081910231991,0.020293780419898155,0.6633019714430972,2.1588670812988533,0.06669546239761917
50000,exhale,120,27.8789324418251,27.9040687679863,27.1678516965196,0.7110807453054981,0.025136326161199207,0.7362170714666973,2.617360964895847,0.09016244152695271
50000,exhale,130,25.555415354946,25.5829110771606,24.8421985419772,0.713216812968799,0.027495722214599283,0.7407125351833983,2.8709891025290624,0.10759254675654394
50000,exhale,140,24.6418709140509,24.6749210583929,23.8683409512148,0.7735299628361005,0.033050144341999044,0.8065801071780996,3.240819981653275,0.13412189544079509
50000,inhale,50,49.3568965099514,49.3634814314353,49.1093526097317,0.2475439002196964,0.006584921483899109,0.2541288217035955,0.5040667145154794,0.013341441519872403
50000,inhale,60,48.7988908630088,48.8093913088346,48.4304395080948,0.3684513549140007,0.01050044582579801,0.3789518007397987,0.7607846607553844,0.021517796081217292
50000,inhale,70,37.9206691078222,37.9337388079925,37.4886462774982,0.43202283032400146,0.013069700170298404,0.44509253049429987,1.1524097912901017,0.034465900728535434
50000,inhale,80,39.3947522369569,39.4122081608226,38.8551682040107,0.5395840329461947,0.017455923865703937,0.5570399568118987,1.3887059505522816,0.04431027706611195
50000,inhale,90,33.8638244330066,33.8852660072479,33.2399725477074,0.6238518852991959,0.021441574241300998,0.6452934595404969,1.876812275954252,0.06331704879854679
50000,inhale,110,31.9633776324578,31.9944637583594,31.1875995950673,0.7757780373904986,0.031086125901602202,0.8068641632921008,2.487456705431082,0.09725544734056898
50000,inhale,120,29.6646769660354,29.7032907340914,28.7967074796332,0.8679694864022025,0.03861376805599903,0.9065832544582015,3.0141275248779182,0.13016749887487364
50000,inhale,130,27.4171581669137,27.4596960722713,26.5351141041081,0.8820440628056012,0.04253790535759805,0.9245819681631993,3.324063576078783,0.1551506727963209
50000,inhale,140,26.7346555419536,26.7859127405722,25.7664242954956,0.9682312464580001,0.05125719861860034,1.0194884450766004,3.7577245307850613,0.19172567433369217
100000,exhale,50,47.5957111617514,47.5995226896372,47.3896699716334,0.20604119011800037,0.003811527885794419,0.2098527180037948,0.4347808082253641,0.00800813307073226
100000,exhale,60,46.8155472149801,46.821611488744,46.5102293074439,0.3053179075361996,0.006064273763897177,0.31138218130009676,0.6564532406795377,0.01295354668407405
100000,exhale,70,36.1246185094334,36.1321411501008,35.7679550477087,0.3566634617246933,0.00752264066740338,0.3641861023920967,0.9971592204501531,0.020824138711496583
100000,exhale,80,37.3451039341453,37.355142716909,36.9014508775353,0.4436530566100032,0.010038782763700738,0.45369183937370394,1.2022645344822698,0.026881121502307825
100000,exhale,90,31.7891007062331,31.801384014138,31.2783128163273,0.5107878899057994,0.01228330790490162,0.523071197810701,1.6330416953921112,0.03863999808743614
100000,exhale,110,29.5641864723991,29.5818495799687,28.9387579685704,0.6254285038287009,0.0176631075696001,0.643091611398301,2.1612140524757897,0.05974494710378803
100000,exhale,120,27.0915603182701,27.1134406202655,26.3999727818371,0.6915875364330013,0.02188030199539881,0.7134678384284001,2.619652460054073,0.08076427395967702
100000,exhale,130,24.8304420752404,24.854374526801,24.1369029700132,0.6935391052271989,0.023932451560600754,0.7174715567877996,2.873355815735044,0.0963835097582291
100000,exhale,140,23.9392595110902,23.9680247675901,23.1872387581303,0.7520207529599006,0.028765256499902137,0.7807860094598027,3.2432527253647847,0.12015934112989679
100000,inhale,50,47.9907230735787,47.9964447977857,47.7502607005118,0.24046237306689733,0.005721724206999568,0.2461840972738969,0.5035833721936517,0.011922563029998737
