tissue,source_line,frequency_hz,conductivity_S_m,rho_ohm_m
Lung (Deflated),65,50000,0.26196642649624746,3.8172830517819216
Lung (Inflated),66,50000,0.10265600348733721,9.741271489527174
Muscle,74,50000,0.35182781036018673,2.8422994730753133
