point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds,Z_experiment,state,residual_ohm,relative_residual_pct
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,50,49.1133921296528,48.5602800193263,0.326543856778472,2.84421054531589e-10,7.105427357601e-15,1.8277588,85.689,inhale,-36.57560787034719,-42.684134335033896
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,60,48.4372390071486,48.4083810691518,0.505815248012249,2.7962021579659503e-10,1.4210854715202e-14,3.5426283,101.102,inhale,-52.664760992851406,-52.09072124473443
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,70,37.4977240123659,36.9224305933351,0.609139622827084,3.64591779014948e-10,7.105427357601e-15,5.1674551,88.678,inhale,-51.1802759876341,-57.714738703662796
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,80,38.8680098087246,38.0663004638424,0.785208523218894,4.1990862931388403e-10,7.105427357601e-15,6.6407031,83.943,inhale,-45.0749901912754,-53.69713995362973
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,90,33.2567949114686,32.2637936844749,0.932795784629696,5.03769366376224e-10,7.105427357601e-15,8.1959543,74.573,inhale,-41.31620508853139,-55.40370521305485
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,110,31.2151689602162,30.2459995002716,1.23244922963208,6.31529521002965e-10,3.5527136788005e-15,9.652927,65.581,inhale,-34.3658310397838,-52.402115002491264
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,120,28.8318153668257,27.3797613779967,1.43013159611238,6.048617656815821e-10,7.105427357601e-15,11.1882249,62.821,inhale,-33.9891846331743,-54.10481309303306
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,130,26.5742233348617,25.1106123533954,1.48304472026871,6.71750847860333e-10,2.1316282072803e-14,12.6269422,60.925,inhale,-34.3507766651383,-56.382070849632
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,140,25.8128847342316,24.2023387831467,1.65911985332096,7.455857121348501e-10,3.5527136788005e-15,14.0992562,50.103,inhale,-24.290115265768403,-48.48036098790173
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,50,49.1093526097316,48.5602292927376,0.322554714365407,1.35187051115246e-10,1.4210854715202e-14,1.4213318,85.689,inhale,-36.57964739026839,-42.688848498953654
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,60,48.4304395080946,48.4079438241163,0.499419399530992,2.2591493802804602e-10,7.105427357601e-15,2.9849025,101.102,inhale,-52.6715604919054,-52.097446630042334
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,70,37.4886462774979,36.9212356768244,0.601205166564363,3.0894224625203003e-10,1.4210854715202e-14,4.6774358,88.678,inhale,-51.1893537225021,-57.72497544205113
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,80,38.8551682040103,38.0642085751902,0.774489578947577,2.60458111875026e-10,0.0,6.1442845,83.943,inhale,-45.0878317959897,-53.71243795907901
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,90,33.239972547707,32.2599719084522,0.919788616160668,3.95307696590865e-10,1.4210854715202e-14,7.7211091,74.573,inhale,-41.333027452292995,-55.42626346304025
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,110,31.1875995950666,30.236842171672,1.21406433105711,4.65533384614433e-10,2.1316282072803e-14,9.2106055,65.581,inhale,-34.3934004049334,-52.44415364958357
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,120,28.7967074796323,27.3667818074239,1.40803016516461,5.44802078760807e-10,1.4210854715202e-14,10.8050275,62.821,inhale,-34.024292520367695,-54.16069868414654
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,130,26.5351141041071,25.0943540482573,1.46023343282358,5.28743776816107e-10,3.5527136788005e-15,12.1960245,60.925,inhale,-34.389885895892895,-56.4462632677766
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,140,25.7664242954944,24.1823009663841,1.63259516497954,4.83398199176044e-10,3.5527136788005e-15,13.6132869,50.103,inhale,-24.336575704505602,-48.57309084187694
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,50,48.7375592203083,48.043207036501,0.467376389020148,8.045912122183229e-11,7.105427357601e-15,1.4028427,83.134,exhale,-34.3964407796917,-41.37469721135962
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,60,47.8554350067659,47.6077315973835,0.723334404946995,1.42897609723034e-10,2.8421709430404e-14,2.8446495,97.44,exhale,-49.584564993234096,-50.887279344452075
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,70,36.7965091553533,35.9560592933162,0.872660863740839,2.0936102135905801e-10,7.105427357601e-15,4.3257123,85.633,exhale,-48.8364908446467,-57.0299894253929
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,80,37.9639211583791,36.8241887009591,1.12566234413988,2.80033465733936e-10,0.0,5.7355251,79.63,exhale,-41.666078841620894,-52.324599826222396
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,90,32.1821612713274,30.7834513370136,1.3391876402939,2.5357939281702e-10,7.105427357601e-15,7.1403694,70.327,exhale,-38.144838728672596,-54.23925196392935
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,110,29.7917403281453,28.2733007572133,1.77934948375885,1.68942457229177e-10,2.1316282072803e-14,8.5360533,61.474,exhale,-31.6822596718547,-51.53765766316606
