L_mm,Z_inhale_hold_ohm,Z_exhale_hold_ohm,experimental_contrast_ohm,reference_contrast_ohm,variable_transverse_contrast_ohm
50,85.689,83.134,2.5549999999999926,0.3725023567676047,0.37583290934450275
60,101.102,97.44,3.662000000000006,0.5762805698905993,0.5818040003826965
70,88.678,85.633,3.0450000000000017,0.6940038295661992,0.7012148570126016
80,83.943,79.63,4.313000000000002,0.8940236522287961,0.9040886503454999
90,74.573,70.327,4.245999999999995,1.0617301433677966,1.0746336401412009
110,65.581,61.474,4.107000000000006,1.4030798998414014,1.4234286320709018
120,62.821,57.685,5.135999999999996,1.6288557831132984,1.6544114276700022
130,60.925,55.784,5.140999999999998,1.692915562130601,1.720903392916199
140,50.103,46.828,3.2749999999999986,1.8980833442806002,1.9311824088142977
