phase_id,phase_percent,region,mask_sha256,source_ct_sha256,raw_volume_ml,HU170_subset_ml,HU190_subset_ml,HU210_subset_ml,fraction_below_170,median_hu
phase_03,15,myo,2321195c7884e9814386934897f9d722b0760a257aa9b8f5d46cbb4c5697ac13,d3899f60d309bb2e45e82b80bba8e0c65b06ba221d84729a5eae374f65c46abe,112.0938174788669,6.996564856260396,1.865899780996457,0.36635622198821327,0.9375829549423681,117.0
phase_04,20,LV,48a838d0d1017acd8bcdf3f0b065933a218b0aae6d0ebda6aa6543f87294a82a,5fba1d54356732740af1fdd78cf44daf798b7a84af9f470fa01dc4808a2d30c0,89.1492908553547,74.80434730522997,66.24279816023214,56.731519450446534,0.16090922779632091,230.0
phase_04,20,RV,aea96e30dbb43d79eef524ecc7dcf8ab5c595d4d566948ce65be2607f946a754,5fba1d54356732740af1fdd78cf44daf798b7a84af9f470fa01dc4808a2d30c0,149.92079655224532,127.69220269842002,119.05458569664295,108.84023863412577,0.1482689150873004,251.0
phase_04,20,LA,5a9a23344f21695644f058a844d3133e0b7c7850b0866f38d4e71e394489a7e9,5fba1d54356732740af1fdd78cf44daf798b7a84af9f470fa01dc4808a2d30c0,64.39591534343049,63.33823654071337,61.92650661048703,58.36418175881844,0.016424625647083347,243.0
phase_04,20,RA,507a79ccea3240f706385df50564b4f6edf7fd9f4b2442e7df28822471be1f30,5fba1d54356732740af1fdd78cf44daf798b7a84af9f470fa01dc4808a2d30c0,102.8672339095271,94.69105795071229,89.67896924042775,83.26186246963267,0.07948280174429354,304.0
phase_04,20,myo,53ae1fc31f284bf6e25429bf8ad8c135e271c3dbacb5d082dd4c1829ecd84892,5fba1d54356732740af1fdd78cf44daf798b7a84af9f470fa01dc4808a2d30c0,108.24567884179986,4.269867784210717,0.8277972649504666,0.13088145945838459,0.9605539192889991,113.0
phase_05,25,LV,81b0bda38e05bf824bbf67f8974991a994e0e65d5c181b1a4ab85d167783ed77,701365be9759c4b04c163c9685cdc343d09cbce31ed0eb62f419528acc798323,78.61445201390738,62.48806637671019,55.34607767660714,48.02846171894028,0.20513258343827595,228.0
phase_05,25,RV,7159ef6d3015535907828b6498d0ab09bc54f8098f5cbdf6a92692acaef16bbd,701365be9759c4b04c163c9685cdc343d09cbce31ed0eb62f419528acc798323,134.53383522874034,110.55400270156376,101.7787923706125,91.61422500848762,0.1782438781025236,248.0
phase_05,25,LA,a7cef3b98110e5474bcfa456cf0f760abfcfe99d20c64c967189be2d3d76058b,701365be9759c4b04c163c9685cdc343d09cbce31ed0eb62f419528acc798323,71.7778533858739,71.07981893542919,69.71171615835564,65.93013689597043,0.00972492792020572,246.0
phase_05,25,RA,213a36c8b9995f2613739276b04d14c1e6850535160b42c8ef6732544311ca4a,701365be9759c4b04c163c9685cdc343d09cbce31ed0eb62f419528acc798323,112.63580095841893,101.4879446829272,96.59219504771677,90.53529195167042,0.09897258403309184,296.0
phase_05,25,myo,a383934a68d4532a663009860af85211038a7151e68314159300269ee74bc886,701365be9759c4b04c163c9685cdc343d09cbce31ed0eb62f419528acc798323,106.12528733407876,2.6886631436600625,0.534712287359896,0.09396617602140431,0.9746651979824917,114.0
