geometry,points_per_tet,step_fraction,volume_ml,Z_base_ohm,dZ_dV_ohm_per_ml,derivative_error_ohm_per_ml,decrease_slope_ohm_per_ml,increase_slope_ohm_per_ml,one_sided_gap_relative_to_central,derivative_relative_error,elasticity,material_volume_slope
individual,4096,0.005,782.8918539180374,165.79844870287366,-0.015403749237802923,0.0,-0.012212863813624585,-0.01859463466198126,0.4142998402424606,0.0,-0.07273572154878111,0.9820265230904488
sphere,4096,0.005,782.8918539180374,169.47973441524738,-0.007941229709629086,0.007462519528173837,-0.007907633040977934,-0.00797482637828024,0.008461326489628067,0.48446124465982515,-0.03668358385863263,0.9974324330889074
ellipsoid,4096,0.005,782.8918539180374,166.16836995036323,-0.01433446498258135,0.0010692842552215732,-0.014462382700125771,-0.014206547265036928,0.017847574736812536,0.06941714245759094,-0.0675359327920745,0.9990743469808382
individual,4096,0.01,782.8918539180374,165.79844870287366,-0.015346293364146894,0.0,-0.012289651296490522,-0.018402935431803265,0.3983557456027157,0.0,-0.07246441783154513,0.9845692058437024
sphere,4096,0.01,782.8918539180374,169.47973441524738,-0.007980588126657548,0.007365705237489346,-0.007986999856622056,-0.007974176396693037,0.0016068314421821424,0.4799664037895713,-0.036865395472752784,0.9996120057244934
ellipsoid,4096,0.01,782.8918539180374,166.16836995036323,-0.01440551500512553,0.0009407783590213645,-0.014466050514334626,-0.014344979495916432,0.008404490806133412,0.06130329563614873,-0.06787068051745175,0.9974523019558937
