phase_id,phase_percent,structure,volume_ml,voxel_count,touches_image_boundary,empty,reference_phase_percent,delta_from_reference_ml,previous_phase_percent,delta_from_previous_ml
phase_00,0.0,LV,150.80788199968546,269626,True,False,0.0,0.0,,
phase_00,0.0,RV,197.7244106357058,353507,True,False,0.0,0.0,,
phase_00,0.0,LA,38.49425078762565,68823,False,False,0.0,0.0,,
phase_00,0.0,RA,61.00698045942043,109073,False,False,0.0,0.0,,
phase_00,0.0,whole_heart,615.4929953245826,1100426,True,False,0.0,0.0,,
phase_01,5.0,LV,135.69722597948154,242610,True,False,0.0,-15.110656020203919,0.0,-15.110656020203919
phase_01,5.0,RV,183.62053507287408,328291,True,False,0.0,-14.103875562831718,0.0,-14.103875562831718
phase_01,5.0,LA,41.77635507865899,74691,False,False,0.0,3.2821042910333347,0.0,3.2821042910333347
phase_01,5.0,RA,68.15959628657352,121861,False,False,0.0,7.152615827153085,0.0,7.152615827153085
phase_01,5.0,whole_heart,597.0907265312478,1067525,True,False,0.0,-18.40226879333477,0.0,-18.40226879333477
phase_02,10.0,LV,117.89678817066493,210785,False,False,0.0,-32.91109382902053,5.0,-17.80043780881661
phase_02,10.0,RV,160.8885509903627,287649,True,False,0.0,-36.835859645343106,5.0,-22.73198408251139
phase_02,10.0,LA,49.6398697732121,88750,False,False,0.0,11.145618985586445,5.0,7.8635146945531105
phase_02,10.0,RA,81.03911494874541,144888,False,False,0.0,20.032134489324974,5.0,12.87951866217189
phase_02,10.0,whole_heart,578.6448305847604,1034546,True,False,0.0,-36.84816473982221,5.0,-18.44589594648744
phase_03,15.0,LV,99.54150246534097,177968,False,False,0.0,-51.266379534344495,10.0,-18.355285705323965
phase_03,15.0,RV,143.23857092767557,256093,True,False,0.0,-54.48583970803023,10.0,-17.64998006268712
phase_03,15.0,LA,58.97104664562334,105433,False,False,0.0,20.476795857997686,10.0,9.331176872411241
phase_03,15.0,RA,91.98785242266796,164463,False,False,0.0,30.980871963247523,10.0,10.948737473922549
phase_03,15.0,whole_heart,565.9191256035759,1011794,True,False,0.0,-49.573869721006645,10.0,-12.725704981184435
phase_04,20.0,LV,79.30521527215997,141788,False,False,0.0,-71.5026667275255,15.0,-20.236287193181
phase_04,20.0,RV,129.2812378536391,231139,True,False,0.0,-68.44317278206668,15.0,-13.957333074036455
phase_04,20.0,LA,67.53595172547908,120746,False,False,0.0,29.041700937853427,15.0,8.564905079855741
phase_04,20.0,RA,101.2189105718183,180967,False,False,0.0,40.211930112397866,15.0,9.231058149150343
phase_04,20.0,whole_heart,556.7658132786338,995429,True,False,0.0,-58.72718204594878,15.0,-9.153312324942135
phase_05,25.0,LV,66.87930713828189,119572,False,False,0.0,-83.92857486140358,20.0,-12.425908133878082
phase_05,25.0,RV,118.30173764351908,211509,True,False,0.0,-79.42267299218672,20.0,-10.979500210120037
phase_05,25.0,LA,75.81728030984165,135552,False,False,0.0,37.323029522216,20.0,8.28132858436257
phase_05,25.0,RA,109.0505438852213,194969,False,False,0.0,48.04356342580087,20.0,7.831633313403003
phase_05,25.0,whole_heart,547.3803821260198,978649,True,False,0.0,-68.11261319856283,20.0,-9.385431152614046
phase_06,30.0,LV,61.65467588699654,110231,False,False,0.0,-89.15320611268892,25.0,-5.224631251285345
phase_06,30.0,RV,106.97433885312931,191257,True,False,0.0,-90.75007178257648,25.0,-11.327398790389765
phase_06,30.0,LA,81.59004758791852,145873,False,False,0.0,43.09579680029287,25.0,5.77276727807687
phase_06,30.0,RA,114.63649745620799,204956,False,False,0.0,53.62951699678756,25.0,5.585953570986689
phase_06,30.0,whole_heart,539.1712061411022,963972,False,False,0.0,-76.3217891834804,25.0,-8.209175984917579
phase_07,35.0,LV,59.775352366568455,106871,False,False,0.0,-91.03252963311701,30.0,-1.8793235204280876
phase_07,35.0,RV,102.68992868453434,183597,True,False,0.0,-95.03448195117146,30.0,-4.284410168594974
phase_07,35.0,LA,85.16915211387665,152272,False,False,0.0,46.674901326250996,30.0,3.5791045259581296
phase_07,35.0,RA,119.54902676570795,213739,False,False,0.0,58.54204630628752,30.0,4.912529309499959
phase_07,35.0,whole_heart,538.5346971630524,962834,False,False,0.0,-76.95829816153014,30.0,-0.6365089780497328
phase_08,40.0,LV,69.25139376034602,123813,False,False,0.0,-81.55648823933944,35.0,9.476041393777564
phase_08,40.0,RV,106.13032123636563,189748,True,False,0.0,-91.59408939934016,35.0,3.4403925518312946
phase_08,40.0,LA,86.07525452551162,153892,False,False,0.0,47.58100373788597,35.0,0.9061024116349756
phase_08,40.0,RA,116.45988872900429,208216,False,False,0.0,55.45290826958386,35.0,-3.089138036703659
phase_08,40.0,whole_heart,539.9878169565262,965432,False,False,0.0,-75.50517836805636,35.0,1.4531197934737747
phase_09,45.0,LV,82.66674335483044,147798,False,False,0.0,-68.14113864485502,40.0,13.415349594484425
phase_09,45.0,RV,115.6343287539591,206740,True,False,0.0,-82.0900818817467,40.0,9.504007517593465
phase_09,45.0,LA,80.8668436260395,144580,False,False,0.0,42.372592838413844,40.0,-5.208410899472128
phase_09,45.0,RA,115.6186677246222,206712,False,False,0.0,54.611687265201766,40.0,-0.841221004382092
phase_09,45.0,whole_heart,553.159301951336,988981,False,False,0.0,-62.33369337324655,40.0,13.171484994809816
phase_10,50.0,LV,101.01419854548595,180601,False,False,0.0,-49.79368345419951,45.0,18.34745519065551
phase_10,50.0,RV,141.03316240355414,252150,True,False,0.0,-56.69124823215165,45.0,25.398833649595048
phase_10,50.0,LA,70.1949707778943,125500,False,False,0.0,31.700719990268645,45.0,-10.671872848145199
phase_10,50.0,RA,108.69201817790153,194328,False,False,0.0,47.6850377184811,45.0,-6.926649546720668
phase_10,50.0,whole_heart,579.7858484364489,1036586,True,False,0.0,-35.70714688813371,45.0,26.62654648511284
phase_11,55.0,LV,121.36626549126476,216988,False,False,0.0,-29.441616508420708,50.0,20.3520669457788
phase_11,55.0,RV,171.32830501083595,306314,True,False,0.0,-26.396105624869847,50.0,30.295142607281804
phase_11,55.0,LA,57.77074061144516,103287,False,False,0.0,19.27648982381951,50.0,-12.424230166449135
phase_11,55.0,RA,87.96800178537134,157276,False,False,0.0,26.96102132595091,50.0,-20.72401639253019
phase_11,55.0,whole_heart,605.6069705556639,1082751,True,False,0.0,-9.886024768918674,50.0,25.821122119215033
phase_12,60.0,LV,133.96220765794348,239508,False,False,0.0,-16.845674341741983,55.0,12.595942166678725
phase_12,60.0,RV,183.27655174993856,327676,True,False,0.0,-14.447858885767232,55.0,11.948246739102615
