point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds,Z_experiment,state,residual_ohm,relative_residual_pct
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,50,47.7541238462573,47.2154431697975,0.320184959405815,1.59104255269704e-10,2.8421709430404e-14,1.7019514,85.689,inhale,-37.93487615374269,-44.27041528520895
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,60,47.0745614316565,47.045035612478,0.495933293435149,7.9022632122382e-11,3.5527136788004997e-14,3.4394723,101.102,inhale,-54.027438568343506,-53.43854579369696
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,70,36.4484373685137,35.885704077683,0.597247218193395,1.1963641495781e-10,0.0,5.0473974,88.678,inhale,-52.229562631486296,-58.89799344988193
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,80,37.7792907830335,36.9947657562456,0.769983635946501,3.8231932494226e-10,4.2632564145606e-14,6.5806177,83.943,inhale,-46.163709216966495,-54.99411412144729
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,90,32.3222903232995,31.3489460680611,0.914661552340474,1.6200305309026002e-10,1.4210854715202e-14,8.1541126,74.573,inhale,-42.250709676700495,-56.65684587813351
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,110,30.3235118616146,29.3703326069764,1.20847380585764,3.54405638055481e-10,7.105427357601e-15,9.5994333,65.581,inhale,-35.2574881383854,-53.7617421789625
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,120,28.0107283558677,26.5869141299056,1.40246832583475,1.97196405308332e-10,0.0,11.092616,62.821,inhale,-34.8102716441323,-55.41183942333344
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,130,25.8136644068642,24.3782363673081,1.45449417998383,4.41127195118088e-10,1.4210854715202e-14,12.5331989,60.925,inhale,-35.1113355931358,-57.630423624350925
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,140,25.0697568949875,23.4896957230751,1.62723401767121,2.66398694954605e-10,3.5527136788005e-15,14.0283639,50.103,inhale,-25.033243105012502,-49.96356127380097
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,50,47.7502607005116,47.2154559403806,0.316308876729821,1.4424389250041e-10,1.4210854715202e-14,1.425084,85.689,inhale,-37.93873929948839,-44.27492361853726
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,60,47.0680546007894,47.0447164413278,0.489713422030864,2.03098226769848e-10,1.4210854715202e-14,2.9066627,101.102,inhale,-54.0339453992106,-53.44498170086704
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,70,36.4397408599374,35.884683837256,0.589521038514755,1.76341295668723e-10,7.105427357601e-15,4.3724228,88.678,inhale,-52.238259140062596,-58.90780028875549
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,80,37.766977553759,36.992931288697,0.759534911510987,3.0471149591985903e-10,1.4210854715202e-14,5.8165828,83.943,inhale,-46.176022446241,-55.008782681392134
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,90,32.3061448175497,31.345492337644,0.90196307602418,1.34547374351653e-10,2.8421709430404e-14,7.3229693,74.573,inhale,-42.26685518245029,-56.678496483245
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,110,30.2970036922477,29.3618601791072,1.19046534084536,5.18690756007682e-10,1.4210854715202e-14,8.7782675,65.581,inhale,-35.283996307752304,-53.802162680886696
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,120,27.9769510493149,26.5748441431565,1.38078728640231,3.8773466083022003e-10,1.77635683940025e-14,10.2740985,62.821,inhale,-34.8440489506851,-55.465606963730444
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,130,25.7760081460147,24.3630418873877,1.43207046987387,5.0754262530949e-10,2.1316282072803e-14,11.7464098,60.925,inhale,-35.148991853985294,-57.692231192425595
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,140,25.0250173553832,23.4709458824821,1.60114628266955,2.24151951475767e-10,0.0,13.5202744,50.103,inhale,-25.077982644616803,-50.05285640503923
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,50,47.3903376537558,46.7161672962761,0.455293980471924,1.40955333152506e-10,1.4210854715202e-14,1.7156004,83.134,exhale,-35.7436623462442,-42.99523942820531
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,60,46.511431781812,46.2719478971714,0.704609956653705,2.95060931379064e-11,1.4210854715202e-14,3.304998,97.44,exhale,-50.928568218188,-52.266592998961414
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,70,35.7697160870427,34.9525423491016,0.850089754788553,1.18189537086786e-10,7.105427357601e-15,4.7744438,85.633,exhale,-49.86328391295729,-58.229051782557306
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,80,36.9040725928679,35.7951875457115,1.09671872445854,1.62901043658716e-10,2.8421709430404e-14,6.2083417,79.63,exhale,-42.7259274071321,-53.65556625283448
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,90,31.2820155732682,29.9192827180286,1.30470663959077,5.58857419006951e-11,2.1316282072803e-14,7.6645949,70.327,exhale,-39.0449844267318,-55.51919522620303
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,110,28.9455886647232,27.4650831960891,1.73354929081413,3.20465333949423e-10,1.4210854715202e-14,9.1282552,61.474,exhale,-32.5284113352768,-52.91409593531705
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,120,26.4090118363688,24.3704179171386,2.01907660766832,2.26128262678176e-10,7.105427357601e-15,10.7301505,57.685,exhale,-31.2759881636312,-54.21858050382456
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,130,24.1474308256964,22.061716190815,2.10718543727642,3.2234419411286603e-10,2.8421709430404e-14,12.2124721,55.784,exhale,-31.6365691743036,-56.71262221121397
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,140,23.1998870382757,20.8739105103292,2.37209954278673,2.64019941081573e-10,7.105427357601e-15,13.7042716,46.828,exhale,-23.6281129617243,-50.45723277040296
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,50,47.3896699716332,46.7181722401618,0.452621965921117,1.70151435805105e-10,7.105427357601e-15,1.4543857,83.134,exhale,-35.744330028366804,-42.99604256786249
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,60,46.5102293074436,46.2754200623531,0.69992527399632,8.089957299530489e-11,3.5527136788004997e-14,2.9172964,97.44,exhale,-50.929770692556396,-52.26782706543144
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,70,35.7679550477083,34.9573876235224,0.843470341673001,6.510886088628729e-11,7.105427357601e-15,4.5225197,85.633,exhale,-49.8650449522917,-58.23110827869128
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,80,36.9014508775348,35.8022451867398,1.08704845844735,1.93836431450469e-10,2.8421709430404e-14,5.9755766,79.63,exhale,-42.728549122465196,-53.6588586242185
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,90,31.2783128163266,29.9288715503758,1.29141239876454,4.86763103102607e-11,0.0,7.4505233,70.327,exhale,-39.048687183673394,-55.524460283637
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,110,28.9387579685695,27.4818373189949,1.70997930570833,2.06288526372293e-10,0.0,8.895483,61.474,exhale,-32.5352420314305,-52.9252074558846
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,120,26.3999727818359,24.3921953879456,1.98826532478435,1.44764616504178e-10,1.0658141036401501e-14,10.3926362,57.685,exhale,-31.285027218164103,-54.23425018317432
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,130,24.136902970012,22.0866138688019,2.07177068195033,2.95662790475479e-10,7.105427357601e-15,11.8493668,55.784,exhale,-31.647097029988,-56.73149474757636
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,140,23.1872387581288,20.9036481610745,2.32968741620748,2.15572670506075e-10,2.1316282072803e-14,13.4100044,46.828,exhale,-23.640761241871203,-50.48424285015633
