point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds,Z_experiment,state,residual_ohm,relative_residual_pct,frequency_hz
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,50,49.1133921296528,48.5602800193263,0.326543856778472,2.84421054531589e-10,7.105427357601e-15,1.8277588,85.689,inhale,-36.57560787034719,-42.684134335033896,50000
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,60,48.4372390071486,48.4083810691518,0.505815248012249,2.7962021579659503e-10,1.4210854715202e-14,3.5426283,101.102,inhale,-52.664760992851406,-52.09072124473443,50000
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,70,37.4977240123659,36.9224305933351,0.609139622827084,3.64591779014948e-10,7.105427357601e-15,5.1674551,88.678,inhale,-51.1802759876341,-57.7147387036628,50000
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,80,38.8680098087246,38.0663004638424,0.785208523218894,4.19908629313884e-10,7.105427357601e-15,6.6407031,83.943,inhale,-45.0749901912754,-53.69713995362973,50000
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,90,33.2567949114686,32.2637936844749,0.932795784629696,5.03769366376224e-10,7.105427357601e-15,8.1959543,74.573,inhale,-41.31620508853139,-55.40370521305485,50000
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,110,31.2151689602162,30.2459995002716,1.23244922963208,6.31529521002965e-10,3.5527136788005e-15,9.652927,65.581,inhale,-34.3658310397838,-52.402115002491264,50000
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,120,28.8318153668257,27.3797613779967,1.43013159611238,6.048617656815821e-10,7.105427357601e-15,11.1882249,62.821,inhale,-33.9891846331743,-54.10481309303306,50000
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,130,26.5742233348617,25.1106123533954,1.48304472026871,6.71750847860333e-10,2.1316282072803e-14,12.6269422,60.925,inhale,-34.3507766651383,-56.382070849632,50000
inflated,literature_named_tissues,variable_transverse,2.84229947307531,9.74127148952717,140,25.8128847342316,24.2023387831467,1.65911985332096,7.4558571213485e-10,3.5527136788005e-15,14.0992562,50.103,inhale,-24.290115265768403,-48.48036098790173,50000
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,50,49.1093526097316,48.5602292927376,0.322554714365407,1.35187051115246e-10,1.4210854715202e-14,1.4213318,85.689,inhale,-36.57964739026839,-42.68884849895365,50000
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,60,48.4304395080946,48.4079438241163,0.499419399530992,2.25914938028046e-10,7.105427357601e-15,2.9849025,101.102,inhale,-52.6715604919054,-52.097446630042334,50000
