L_mm,Z_inhale_hold_ohm,Z_exhale_hold_ohm,experimental_contrast_ohm,reference_contrast_ohm,variable_transverse_contrast_ohm
50,85.689,83.134,2.5549999999999926,0.3605907288784067,0.36378619250150024
60,101.102,97.44,3.662000000000006,0.5578252933458003,0.5631296498444982
70,88.678,85.633,3.0450000000000017,0.6717858122291034,0.6787212814709989
80,83.943,79.63,4.313000000000002,0.8655266762241993,0.8752181901656044
90,74.573,70.327,4.245999999999995,1.0278320012231,1.0402747500312977
110,65.581,61.474,4.107000000000006,1.3582457236781984,1.3779231968914019
120,62.821,57.685,5.135999999999996,1.5769782674789994,1.601716519498897
130,60.925,55.784,5.140999999999998,1.6391051760027011,1.6662335811677984
140,50.103,46.828,3.2749999999999986,1.837778597254399,1.869869856711798
