state,model,rmse_ohm,mean_bias_ohm,mape_pct,minimum_relative_residual_pct,maximum_relative_residual_pct,frequency_hz
exhale,reference,37.47411915358535,-36.52745005776056,51.64651581998362,-57.0321693179829,-41.37555001207208,50000
exhale,variable_transverse,37.46933034825761,-36.52169418368913,51.63649625461749,-57.0299894253929,-41.37469721135962,50000
inhale,reference,40.26238553219923,-39.33395281985091,52.58601982628333,-57.72497544205113,-42.68884849895365,50000
inhale,variable_transverse,40.2434493048339,-39.31197197050048,52.551088820352646,-57.7147387036628,-42.684134335033896,50000
exhale,reference,38.450934832664366,-37.49161216675637,53.00594356184804,-58.23110827869128,-42.99604256786249,100000
exhale,variable_transverse,38.446407770074266,-37.48616754957659,52.99646412328001,-58.229051782557306,-42.99523942820531,100000
inhale,reference,41.27144290290829,-40.33431569161026,53.92531577943098,-58.90780028875549,-44.27492361853726,100000
inhale,variable_transverse,41.25324405538831,-40.31318163643394,53.89172011431294,-58.89799344988193,-44.27041528520895,100000
