tissue,source_line,frequency_hz,conductivity_S_m,rho_ohm_m
Lung (Deflated),65,50000,0.2619664264962474,3.8172830517819216
Lung (Inflated),66,50000,0.1026560034873372,9.741271489527174
Muscle,74,50000,0.3518278103601867,2.8422994730753133
Lung (Deflated),65,100000,0.2716140934232483,3.681694080732877
Lung (Inflated),66,100000,0.107350815708701,9.315252924705511
Muscle,74,100000,0.3618486997210361,2.763585998155971
