state,model,rmse_ohm,mean_bias_ohm,mape_pct,minimum_relative_residual_pct,maximum_relative_residual_pct
exhale,reference,38.450934832664366,-37.49161216675637,53.005943561848035,-58.23110827869128,-42.99604256786249
exhale,variable_transverse,38.446407770074266,-37.48616754957659,52.99646412328001,-58.229051782557306,-42.99523942820531
inhale,reference,41.27144290290829,-40.334315691610264,53.92531577943098,-58.90780028875549,-44.27492361853726
inhale,variable_transverse,41.25324405538831,-40.31318163643394,53.89172011431294,-58.89799344988193,-44.27041528520895
