label,parameter,signed_step,q_coarse,q_fine,Z_coarse_ohm,Z_fine_ohm,Z_fine_minus_coarse_ohm,Z_difference_relative_to_coarse
baseline,baseline,0.0,16384,16384,169.47970014681914,170.11398817831162,0.6342880314924741,0.0037425605010098237
volume_fraction:-0.01,volume_fraction,-0.01,16384,16384,169.5416864413587,170.17515445094944,0.6334680095907288,0.0037363554821653465
volume_fraction:-0.005,volume_fraction,-0.005,16384,16384,169.51055235836276,170.14460265053359,0.6340502921708264,0.00374047682194073
volume_fraction:+0.005,volume_fraction,0.005,16384,16384,169.44843059547566,170.08351469552744,0.6350841000517846,0.0037479491419305103
volume_fraction:+0.01,volume_fraction,0.01,16384,16384,169.41730526993922,170.05303770731868,0.6357324373794597,0.0037524645806785934
