subject,chamber_key,chamber_label,phase_percent,cardiac_phase,modeled_volume_ml,change_from_0_ml,change_from_0_percent,change_from_previous_1pct_ml,measured_count,measured_mean_ml,measured_min_ml,measured_max_ml,model,model_residual_rmse_ml,cycle_offsets_ml,phase_kind
adam,heart_atrium_left,Левое предсердие,0.0,Уменьшение объёма желудочков,43.66126438856685,0.0,0.0,0.0,0,,,,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",periodic_model_boundary
adam,heart_atrium_left,Левое предсердие,1.0,Уменьшение объёма желудочков,43.35966890310971,-0.3015954854571419,-0.6907621427842061,-0.3015954854571419,0,,,,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",periodic_model
adam,heart_atrium_left,Левое предсердие,2.0,Уменьшение объёма желудочков,43.18535335058973,-0.4759110379771201,-1.0900074577357917,-0.1743155525199782,0,,,,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",periodic_model
adam,heart_atrium_left,Левое предсердие,3.0,Уменьшение объёма желудочков,43.14816603069076,-0.513098357876089,-1.1751797962370716,-0.03718731989896895,0,,,,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",periodic_model
adam,heart_atrium_left,Левое предсердие,4.0,Уменьшение объёма желудочков,43.25646583950399,-0.4047985490628605,-0.9271342796221476,0.10829980881322854,0,,,,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",periodic_model
adam,heart_atrium_left,Левое предсердие,5.0,Уменьшение объёма желудочков,43.51695977051351,-0.14430461805334005,-0.3305094803693493,0.26049393100952045,0,,,,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",periodic_model
adam,heart_atrium_left,Левое предсердие,6.0,Уменьшение объёма желудочков,43.934563931354404,0.2732995427875551,0.6259542562837951,0.41760416084089513,0,,,,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",periodic_model
adam,heart_atrium_left,Левое предсердие,7.0,Уменьшение объёма желудочков,44.51229039925666,0.8510260106898144,1.9491556706100897,0.5777264679022593,0,,,,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",periodic_model
adam,heart_atrium_left,Левое предсердие,8.0,Уменьшение объёма желудочков,45.25116184008658,1.5898974515197324,3.6414370352867365,0.738871440829918,1,45.245685016147235,45.245685016147235,45.245685016147235,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",measured_phase_reference
adam,heart_atrium_left,Левое предсердие,9.0,Уменьшение объёма желудочков,46.15015538698445,2.4888909984176024,5.700455617289324,0.89899354689787,0,,,,periodic_fourier_ridge_with_cycle_contrasts,2.543505421519102,"{""1"": -0.5348734888520461, ""2"": 0.5348734888520461}",periodic_model
