point_id,kind,rho1,rho2
g0_0,grid,1.3774104683195594,9.741271489527175
g0_1,grid,1.3774104683195594,11.326732326326788
g0_2,grid,1.3774104683195594,13.170238128583716
g0_3,grid,1.3774104683195594,15.313787539627592
g0_4,grid,1.3774104683195594,17.806214779054415
g0_5,grid,1.3774104683195594,20.70430218111321
g0_6,grid,1.3774104683195594,24.07407380658437
g1_0,grid,1.9166941444952776,9.741271489527175
g1_1,grid,1.9166941444952776,11.326732326326788
g1_2,grid,1.9166941444952776,13.170238128583716
g1_3,grid,1.9166941444952776,15.313787539627592
g1_4,grid,1.9166941444952776,17.806214779054415
g1_5,grid,1.9166941444952776,20.70430218111321
g1_6,grid,1.9166941444952776,24.07407380658437
g2_0,grid,2.667118138011843,9.741271489527175
g2_1,grid,2.667118138011843,11.326732326326788
g2_2,grid,2.667118138011843,13.170238128583716
g2_3,grid,2.667118138011843,15.313787539627592
g2_4,grid,2.667118138011843,17.806214779054415
g2_5,grid,2.667118138011843,20.70430218111321
g2_6,grid,2.667118138011843,24.07407380658437
g3_0,grid,3.711348095126028,9.741271489527175
g3_1,grid,3.711348095126028,11.326732326326788
g3_2,grid,3.711348095126028,13.170238128583716
g3_3,grid,3.711348095126028,15.313787539627592
g3_4,grid,3.711348095126028,17.806214779054415
g3_5,grid,3.711348095126028,20.70430218111321
g3_6,grid,3.711348095126028,24.07407380658437
g4_0,grid,5.164414911693138,9.741271489527175
g4_1,grid,5.164414911693138,11.326732326326788
g4_2,grid,5.164414911693138,13.170238128583716
g4_3,grid,5.164414911693138,15.313787539627592
g4_4,grid,5.164414911693138,17.806214779054415
g4_5,grid,5.164414911693138,20.70430218111321
g4_6,grid,5.164414911693138,24.07407380658437
g5_0,grid,7.186386374036075,9.741271489527175
g5_1,grid,7.186386374036075,11.326732326326788
g5_2,grid,7.186386374036075,13.170238128583716
g5_3,grid,7.186386374036075,15.313787539627592
g5_4,grid,7.186386374036075,17.806214779054415
g5_5,grid,7.186386374036075,20.70430218111321
g5_6,grid,7.186386374036075,24.07407380658437
g6_0,grid,10.000000000000002,9.741271489527175
g6_1,grid,10.000000000000002,11.326732326326788
g6_2,grid,10.000000000000002,13.170238128583716
g6_3,grid,10.000000000000002,15.313787539627592
g6_4,grid,10.000000000000002,17.806214779054415
g6_5,grid,10.000000000000002,20.70430218111321
g6_6,grid,10.000000000000002,24.07407380658437
v0_0,validation,1.764738891760469,10.907680033997908
v0_1,validation,1.764738891760469,13.67621359367786
v0_2,validation,1.764738891760469,17.147442689639025
v0_3,validation,1.764738891760469,21.499722037858437
v1_0,validation,2.896773988306432,10.907680033997908
v1_1,validation,2.896773988306432,13.67621359367786
v1_2,validation,2.896773988306432,17.147442689639025
v1_3,validation,2.896773988306432,21.499722037858437
v2_0,validation,4.754980795463602,10.907680033997908
v2_1,validation,4.754980795463602,13.67621359367786
v2_2,validation,4.754980795463602,17.147442689639025
v2_3,validation,4.754980795463602,21.499722037858437
v3_0,validation,7.8051799886694955,10.907680033997908
v3_1,validation,7.8051799886694955,13.67621359367786
v3_2,validation,7.8051799886694955,17.147442689639025
v3_3,validation,7.8051799886694955,21.499722037858437
