point_id,kind,k,source_point_id,state,rho1_hat,rho2_hat
ct_k2,ct_reference,2,v0_3,,1.7646285848548426,19.62305890253842
ct_k3,ct_reference,3,v0_3,,1.7646227444787428,19.657619282828204
ct_k5,ct_reference,5,v0_3,,1.7646551317541734,19.66704674884141
ct_k9,ct_reference,9,v0_3,,1.7647261016361713,19.67409191954716
inhale_k2,real,2,,inhale,5.059413945280995,24.07407380658436
inhale_k9,real,9,,inhale,5.898838188372726,24.07407380658436
exhale_k2,real,2,,exhale,4.863251545363707,24.07407380658436
exhale_k9,real,9,,exhale,5.604838469970408,24.07407380658436
