k,subset_id,sizes_mm,sizes_mm_json,subset_indices_json,worst_sigma_logrho1_unit_ohm_error,worst_sigma_logrho2_unit_ohm_error,worst_max_unit_logrho_error,worst_kappa,g1,g2,g1_max,g2_max,rank2_min,g1_relative_full9,g2_relative_full9,attenuation_relative_full9,uncertainty_inflation_relative_full9,global_rank,rank_within_count,worst_score,worst_score_nonincreasing_vs_previous
2,50-140,50|140,"[50, 140]","[0, 8]",0.04783265382477593,4.671284475511923,4.671284475511923,127.22910766997022,26.846556534036253,0.2786987940467188,187.5229218781854,9.379883760176257,2,0.5068468510385677,0.5123229122600916,0.5068468510385677,1.4979745771878827,252,1,4.671284475511923,
3,50-130-140,50|130|140,"[50, 130, 140]","[0, 7, 8]",0.047709886318862346,3.88965215115094,3.88965215115094,118.03243755476947,29.758003778995995,0.3719096912825311,206.0552881128592,12.421512210629198,2,0.561813225076218,0.6836694675602999,0.561813225076218,1.2473228866862651,109,1,3.88965215115094,True
4,50-120-130-140,50|120|130|140,"[50, 120, 130, 140]","[0, 6, 7, 8]",0.0477029923560344,3.6250737231507353,3.6250737231507353,121.84064843895257,32.85566191998873,0.44193194180250456,226.23635159565336,14.659551027300827,2,0.6202951489075162,0.8123890891578907,0.6202951489075162,1.1624786086521794,56,1,3.6250737231507353,True
5,50-60-120-130-140,50|60|120|130|140,"[50, 60, 120, 130, 140]","[0, 1, 6, 7, 8]",0.03585051642538905,3.2760311735358987,3.2760311735358987,134.77826860706142,40.41883979808509,0.44980221998796216,283.42397827004856,14.907491048421793,2,0.7630834013412211,0.8268567651091356,0.7630834013412211,1.0505486098647334,16,1,3.2760311735358987,True
6,50-60-110-120-130-140,50|60|110|120|130|140,"[50, 60, 110, 120, 130, 140]","[0, 1, 5, 6, 7, 8]",0.03578869827052118,3.1813373210298246,3.1813373210298246,139.94650219731338,43.15518515653887,0.49442968014075567,302.35376635507384,16.343583725793987,2,0.8147439570079401,0.9088939710125731,0.8147439570079401,1.020182447321286,8,1,3.1813373210298246,True
7,50-60-70-110-120-130-140,50|60|70|110|120|130|140,"[50, 60, 70, 110, 120, 130, 140]","[0, 1, 2, 5, 6, 7, 8]",0.03321419770354543,3.1350814013893276,3.1350814013893276,149.48573772034123,46.825858780571224,0.5046140622274088,328.524096325157,16.66701639014937,2,0.8840440687437753,0.927615588764995,0.8840440687437753,1.0053492270305613,4,1,3.1350814013893276,True
8,50-60-70-80-110-120-130-140,50|60|70|80|110|120|130|140,"[50, 60, 70, 80, 110, 120, 130, 140]","[0, 1, 2, 3, 5, 6, 7, 8]",0.031762327921261706,3.126247459528939,3.126247459528939,160.5902097504574,50.467100580901125,0.5213058008660322,354.07290558405396,17.187020396181232,2,0.9527885253383263,0.9582994680378645,0.9527885253383263,1.0025163830039154,2,1,3.126247459528939,True
9,50-60-70-80-90-110-120-130-140,50|60|70|80|90|110|120|130|140,"[50, 60, 70, 80, 90, 110, 120, 130, 140]","[0, 1, 2, 3, 4, 5, 6, 7, 8]",0.03149046207906509,3.118400369838873,3.118400369838873,168.17645095393598,52.96778796006252,0.5439904938415705,371.21155504428657,17.901583194593307,2,1.0,1.0,1.0,1.0,1,1,3.118400369838873,True
