state,L1_mm,L2_mm,rho1,rho2,pair_max_residual_ohm,all_nine_rmse_ohm
inhale,70,130,6.805431647024,12.076125436277,1.0942358130706e-12,12.377358760797
exhale,60,110,5.7243732069555,10.591712066495,1.6129320101754e-12,6.6923881344198
exhale,60,120,5.680355474763,20.147885581039,1.4210854715202e-13,6.5020748887967
exhale,80,120,5.9210849819526,10.373134854487,4.2632564145606e-14,7.0979486652531
exhale,90,130,6.0742423132505,15.399248000138,8.8817841970013e-13,8.2782843857276
