quadrature_points,tissue,volume_ml,nonzero_elements
1024,soft_background,11096.781894847589,634586
1024,lung,4173.431125722712,60079
1024,bone,1292.2850990533711,35244
1024,heart,578.3564547998775,2603
1024,fat,3029.908383909793,449926
4096,soft_background,11096.094032453128,638232
4096,lung,4173.555793519965,60520
4096,bone,1292.2849406621363,36184
4096,heart,578.436231148265,2671
4096,fat,3030.3919605498468,453034
