request_id_fine,kind_fine,quadrature_points_fine,frequency_hz,state,model,rho1_fine,rho2_fine,rho_bone_fine,rho_heart_fine,rho_fat_fine,L_mm,Z_fine,relative_residual_fine,reciprocity_abs_fine,request_id_coarse,kind_coarse,quadrature_points_coarse,rho1_coarse,rho2_coarse,rho_bone_coarse,rho_heart_coarse,rho_fat_coarse,Z_coarse,relative_residual_coarse,reciprocity_abs_coarse,difference_ohm,difference_pct,within_numeric_tolerance
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,49.5149352523896,1.64260436717508e-10,1.4210854715202e-14,q1024_50000_inhale_ts_without_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,49.5148710695426,1.73570358666392e-10,0.0,6.418284699805099e-05,0.0001296232069594669,True
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,49.0364614271474,2.60434182704198e-10,7.105427357601e-15,q1024_50000_inhale_ts_without_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,49.0363803298847,2.88149141752214e-10,1.4210854715202e-14,8.109726270077999e-05,0.00016538155556200716,True
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,38.2010957889253,2.41033982574286e-10,1.4210854715202e-14,q1024_50000_inhale_ts_without_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,38.2010232900998,2.44377274362781e-10,1.4210854715202e-14,7.24988255029757e-05,0.00018978205730944895,True
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,39.7531531513339,3.76532047198441e-10,1.4210854715202e-14,q1024_50000_inhale_ts_without_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,39.7530895230787,2.89514127217716e-10,2.1316282072803e-14,6.362825519801163e-05,0.0001600583856978314,True
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,34.2791022230949,3.61331149111453e-10,0.0,q1024_50000_inhale_ts_without_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,34.2790654117418,2.25930056910866e-10,1.4210854715202e-14,3.681135310529271e-05,0.00010738715636634074,True
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,32.4986785020541,3.5201368037768303e-10,7.105427357601e-15,q1024_50000_inhale_ts_without_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,32.4987427538269,2.19318949598812e-10,1.4210854715202e-14,-6.42517728053349e-05,-0.00019770580148750918,True
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,30.2865877920327,4.1143966396821004e-10,3.5527136788005e-15,q1024_50000_inhale_ts_without_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,30.2867247801101,4.45581292082381e-10,0.0,-0.0001369880773971488,-0.00045230607798342135,True
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,130,28.0689503896235,5.68926767454708e-10,0.0,q1024_50000_inhale_ts_without_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,28.0691417780836,3.88805284220508e-10,1.77635683940025e-14,-0.00019138846010235966,-0.0006818511467144563,True
q4096_50000_inhale_ts_without_fat,literature,4096,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,140,27.4803154574929,4.43866921213396e-10,1.0658141036401501e-14,q1024_50000_inhale_ts_without_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,27.4805695697899,4.97023258000372e-10,3.5527136788005e-15,-0.0002541122970001197,-0.0009247066227939985,True
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,82.5755409913383,8.64515983547155e-11,2.8421709430404e-14,q1024_50000_inhale_ts_with_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,82.6566201768069,1.79904025497226e-10,1.4210854715202e-14,-0.08107918546859594,-0.098187894981034,True
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,77.1082307165139,1.41967952363178e-10,5.6843418860808e-14,q1024_50000_inhale_ts_with_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,77.170632198706,3.17226245930504e-10,2.8421709430404e-14,-0.06240148219210084,-0.08092713529054768,True
q4096_50000_inhale_ts_with_fat,literature,4096,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,53.500740637334,1.47454068070251e-10,1.4210854715202e-14,q1024_50000_inhale_ts_with_fat,literature,1024,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,53.5425927485059,3.49744307159519e-10,7.105427357601e-15,-0.041852111171905904,-0.0782271622286675,True
