frequency_hz,state,L_mm,ts_with_fat,ts_without_fat,previous_four_tissue,Z_experiment,fat_delta_ohm,fat_delta_pct,segmentation_delta_ohm,combined_delta_ohm
50000,exhale,50,81.942273757631,49.0809526617027,48.9529676082627,83.134,32.8613210959283,66.9533073704366,0.12798505343999977,32.989306149368296
50000,exhale,60,76.084114022643,48.3661298047045,48.1749191740566,97.44,27.717984217938508,57.30866689118967,0.19121063064790178,27.90919484858641
50000,exhale,70,52.2888766266843,37.3913165413394,37.1698625588266,85.633,14.8975600853449,39.84229886335864,0.22145398251279858,15.119014067857698
50000,exhale,80,54.5961805051385,38.7112083972919,38.4286261504777,79.63,15.8849721078466,41.03455501781199,0.28258224681420074,16.1675543546608
50000,exhale,90,42.3676591768074,33.0381487424349,32.7173528152934,70.327,9.329510434372501,28.238599284437147,0.3207959271414964,9.650306361513998
50000,exhale,110,41.1792786317837,30.8494137338129,30.4478216666687,61.474,10.329864897970804,33.48480132265406,0.40159206714420037,10.731456965115004
50000,exhale,120,35.7918992760472,28.3667638483598,27.9040687679863,57.685,7.4251354276873975,26.175475875147203,0.46269508037349993,7.8878305080608975
50000,exhale,130,32.887949202328,26.0608920022345,25.5829110771606,55.784,6.827057200093503,26.19655996236867,0.47798092507390066,7.305038125167403
50000,exhale,140,29.9638408598388,25.2191300283148,24.6749210583929,46.828,4.744710831523999,18.813935398234875,0.5442089699219004,5.2889198014459
50000,inhale,50,82.5755409913383,49.5149352523896,49.3634814314353,85.689,33.0606057389487,66.76895682167573,0.15145382095430193,33.212059559903004
50000,inhale,60,77.1082307165139,49.0364614271474,48.8093913088346,101.102,28.0717692893665,57.24672717478244,0.22707011831280255,28.298839407679303
50000,inhale,70,53.500740637334,38.2010957889253,37.9337388079925,88.678,15.299644848408697,40.05027743953917,0.2673569809328029,15.5670018293415
50000,inhale,80,56.1305295094287,39.7531531513339,39.4122081608226,83.943,16.3773763580948,41.1976788249947,0.34094499051129645,16.718321348606096
50000,inhale,90,44.2112611184698,34.2791022230949,33.8852660072479,74.573,9.932158895374897,28.974384541154322,0.3938362158470028,10.3259951112219
50000,inhale,110,43.6522084962343,32.4986785020541,31.9944637583594,65.581,11.153529994180204,34.31994932801725,0.5042147436946962,11.6577447378749
50000,inhale,120,38.6500384985992,30.2865877920327,29.7032907340914,62.821,8.3634507065665,27.614370968414672,0.5832970579413015,8.946747764507801
50000,inhale,130,35.876765768155,28.0689503896235,27.4596960722713,60.925,7.8078153785315045,27.816556266449812,0.6092543173521996,8.417069695883704
50000,inhale,140,33.2775507578497,27.4803154574929,26.7859127405722,50.103,5.797235300356803,21.09595615568563,0.694402716920699,6.491638017277502
100000,exhale,50,80.0020242110932,47.7240938166899,47.5995226896372,83.134,32.2779303944033,67.63445424104664,0.1245711270527039,32.402501521456
100000,exhale,60,74.1639531149839,47.0077135128293,46.821611488744,97.44,27.1562396021546,57.769752180656795,0.18610202408530085,27.3423416262399
100000,exhale,70,50.9233134868829,36.3476347513371,36.1321411501008,85.633,14.5756787355458,40.100762636307756,0.21549360123629668,14.791172336782097
100000,exhale,80,53.2199712312199,37.6301555697596,37.355142716909,79.63,15.5898156614603,41.429049190507754,0.27501285285060106,15.8648285143109
100000,exhale,90,41.2620040386831,32.113521611299,31.801384014138,70.327,9.148482427384103,28.487945165644025,0.31213759716099787,9.4606200245451
100000,exhale,110,40.1000818726402,29.9725041086834,29.5818495799687,61.474,10.127577763956804,33.78956168371238,0.3906545287146983,10.518232292671502
100000,exhale,120,34.829314075285,27.5635829308206,27.1134406202655,57.685,7.265731144464397,26.359893641911547,0.45014231055510123,7.715873455019498
100000,exhale,130,31.9980587620545,25.3193376972336,24.854374526801,55.784,6.678721064820902,26.37794536604574,0.4649631704326005,7.143684235253502
100000,exhale,140,29.1231757546282,24.4974197787148,23.9680247675901,46.828,4.6257559759134,18.88262526297812,0.5293950111246986,5.155150987038098
100000,inhale,50,80.6148455505853,48.1438463313501,47.9964447977857,85.689,32.4709992192352,67.44579358232723,0.14740153356439833,32.6184007527996
100000,inhale,60,75.1556053756226,47.6560374419067,47.4350451643654,101.102,27.499567933715902,57.70426877651802,0.22099227754129913,27.7205602112572
100000,inhale,70,52.0965850232337,37.1308551342951,36.8706903098791,88.678,14.965729888938597,40.30537361666047,0.26016482441600175,15.225894713354599
100000,inhale,80,54.7053012035777,38.6380862541239,38.3062433943989,83.943,16.0672149494538,41.5838787764467,0.3318428597250005,16.3990578091788
100000,inhale,90,43.0468721386558,33.3139171099469,32.9306572147448,74.573,9.7329550287089,29.215882949420035,0.3832598952021016,10.116214923911002
100000,inhale,110,42.4946823974165,31.5678682494048,31.077236751985,65.581,10.926814148011697,34.613721970971916,0.4906314974197983,11.417445645431496
100000,inhale,120,37.5970055789158,29.4208835067617,28.8531829792643,62.821,8.176122072154097,27.7901989934293,0.5677005274974007,8.743822599651498
100000,inhale,130,34.8923746417422,27.262134396152,26.6691733138106,60.925,7.630240245590201,27.988418422099755,0.5929610823414002,8.223201327931601
100000,inhale,140,32.3319176618595,26.6851207328239,26.0092336111969,50.103,5.646796929035599,21.16084459790277,0.6758871216269995,6.322684050662598
