case_id,L_mm,dZ_dlnrho1,dZ_dlnrho2,dZ_dlnrho3
inhale_f50000_fat100_p2_s0,50,89.5890655001275,0.617035653023971,20.9213114982569
inhale_f50000_fat100_p2_s0,60,90.6808078119273,0.988777304248643,16.1974451683901
inhale_f50000_fat100_p2_s0,70,66.4250636754317,1.17086374328856,7.58539032484801
inhale_f50000_fat100_p2_s0,80,66.7898340076715,1.48351735828985,9.60419911214793
inhale_f50000_fat100_p2_s0,90,55.2210627048095,1.77754922077434,5.38628969339897
inhale_f50000_fat100_p2_s0,110,53.520303940572,2.36540505633347,6.67631503355671
inhale_f50000_fat100_p2_s0,120,48.3494853951244,2.72083802543178,4.30265173348317
inhale_f50000_fat100_p2_s0,130,44.7140622941244,2.82579420937999,4.05137706741563
inhale_f50000_fat100_p2_s0,140,43.076535871523,3.11651104407313,2.38030523264972
inhale_f100000_fat100_p2_s0,50,89.5507111425415,0.61701504254274,20.9466142206338
inhale_f100000_fat100_p2_s0,60,90.6475279213614,0.988629502072746,16.2295985665283
inhale_f100000_fat100_p2_s0,70,66.4139967412996,1.17069573909316,7.60593530022665
inhale_f100000_fat100_p2_s0,80,66.7796922313716,1.48331993711841,9.61621359813367
inhale_f100000_fat100_p2_s0,90,55.2208081151485,1.77722419983406,5.39192469934171
inhale_f100000_fat100_p2_s0,110,53.510250896668,2.36468772369846,6.68242921314653
inhale_f100000_fat100_p2_s0,120,48.3397070870626,2.71986865586721,4.30962181025834
inhale_f100000_fat100_p2_s0,130,44.7018278390694,2.8245328191278,4.05799743609561
inhale_f100000_fat100_p2_s0,140,43.0656446460371,3.11493816444354,2.38639020028917
inhale_f50000_fat075_p2_s0,50,85.3639488466132,0.643053895320856,23.1539859918742
inhale_f50000_fat075_p2_s0,60,87.0023713280388,1.02121954376595,19.1354969744521
inhale_f50000_fat075_p2_s0,70,65.2196482275665,1.21311390311941,9.57943239882056
inhale_f50000_fat075_p2_s0,80,65.9921022142642,1.54118268884598,10.7605224575507
inhale_f50000_fat075_p2_s0,90,55.610660665233,1.84355220487492,6.06175783022846
inhale_f50000_fat075_p2_s0,110,53.3452976735069,2.44632684967193,7.38651793024794
inhale_f50000_fat075_p2_s0,120,48.4516331686001,2.81664146119746,5.15079653139284
inhale_f50000_fat075_p2_s0,130,44.7376048443752,2.92485882801985,4.86852152460429
inhale_f50000_fat075_p2_s0,140,43.47699921811,3.23264329074802,3.21399843210646
