case_id,state,frequency_hz,fat_factor,free_parameters,synthetic,rho1,rho2,rho3_fat,rho_bone,rho_heart,rmse_ohm,max_residual_ohm,bound_rho1,bound_rho2,bound_rho3,condition_number,smin_ohm,quadrature_max_difference_ohm,quadrature_within_tolerance,two_start_log_difference,exitflag,iterations,vector_evaluations,CEM_solves,seconds,max_relative_residual,max_reciprocity_ohm
inhale_f50000_fat100_p2_s0,inhale,50000,1,2,0,4.09784070907188,24.0740738065783,23.1086075206695,48.4451260579635,5.11678442048387,11.5535067629091,26.1469316114253,0,1,0,49.6580555940854,3.88676018705074,0.0705544843450525,1,3.70501407331858e-11,3,8,21,189,377.7213192,7.80989594425614e-10,7.105427357601e-14
inhale_f100000_fat100_p2_s0,inhale,100000,1,2,0,4.1002549742275,24.0740738065838,23.040605218284,48.0976735255785,4.64880905754772,11.5478779402857,26.1353933375975,0,1,0,49.6726174703959,3.88458679884211,0.0702308603978423,1,1.03057562483855e-11,3,9,20,180,319.8575617,1.0006230154011e-09,8.5265128291212e-14
inhale_f50000_fat075_p2_s0,inhale,50000,0.75,2,0,4.30892651487877,24.0740738065838,17.3314556405021,48.4451260579635,5.11678442048387,10.593912772768,24.2004051669332,0,1,0,48.0299331165077,3.93216262515672,0.0434452310233269,1,8.2312157090314e-11,3,9,21,189,314.2794178,1.02059546814613e-09,1.13686837721616e-13
