case_id,L_mm,dZ_dlnrho1,dZ_dlnrho2,dZ_dlnrho3
exhale_f50000_fat100_p2_s0,50,85.9454229400293,0.566599317450452,19.5227555415914
exhale_f50000_fat100_p2_s0,60,86.8304690360444,0.909384696977374,14.8966041215924
exhale_f50000_fat100_p2_s0,70,63.4193742808366,1.07634947738373,6.89947494489665
exhale_f50000_fat100_p2_s0,80,63.7550711316124,1.36331691202463,8.9578377903015
exhale_f50000_fat100_p2_s0,90,52.5783857084536,1.63388281459376,5.04070577539118
exhale_f50000_fat100_p2_s0,110,51.0741919370335,2.17468923680497,6.24864389236483
exhale_f50000_fat100_p2_s0,120,46.1596650269256,2.50116006799845,3.98193014081957
exhale_f50000_fat100_p2_s0,130,42.7265154940592,2.59709948850747,3.74681076706136
exhale_f50000_fat100_p2_s0,140,41.1219654500246,2.86256157715488,2.16334190148193
exhale_f100000_fat100_p2_s0,50,85.909066174246,0.566592728559042,19.5467575258102
exhale_f100000_fat100_p2_s0,60,86.7993294669802,0.909268932880019,14.92707769809
exhale_f100000_fat100_p2_s0,70,63.4091550937212,1.07621909215494,6.91875787678502
exhale_f100000_fat100_p2_s0,80,63.7450971468501,1.36316691665446,8.96925130598921
exhale_f100000_fat100_p2_s0,90,52.5778570879134,1.63362270801545,5.04583244049428
exhale_f100000_fat100_p2_s0,110,51.0643825863705,2.17408224112754,6.25434133119818
exhale_f100000_fat100_p2_s0,120,46.1503149676679,2.50033250474238,3.98837588908409
exhale_f100000_fat100_p2_s0,130,42.7148240482069,2.5960085483461,3.75297174215578
exhale_f100000_fat100_p2_s0,140,41.1116570185229,2.8611921760559,2.16888262265434
exhale_f50000_fat075_p2_s0,50,81.9394981131594,0.590575352253539,21.6307251065348
exhale_f50000_fat075_p2_s0,60,83.3797178063263,0.939309870952107,17.6740603054381
exhale_f50000_fat075_p2_s0,70,62.3038189805839,1.11525230020491,8.7638498935772
exhale_f50000_fat075_p2_s0,80,62.9765976880156,1.41641603568564,10.0327470972703
exhale_f50000_fat075_p2_s0,90,52.9336675716395,1.69465576403192,5.63930610019123
exhale_f50000_fat075_p2_s0,110,50.8929465078306,2.24896077095013,6.89220286949398
exhale_f50000_fat075_p2_s0,120,46.2576327500148,2.58909802603299,4.75484901750378
exhale_f50000_fat075_p2_s0,130,42.7495961279097,2.68802154696047,4.49559212590828
exhale_f50000_fat075_p2_s0,140,41.5146768414963,2.96877854058258,2.91794789760074
exhale_f50000_fat125_p2_s0,50,88.9368731418473,0.548292101582666,17.8703549722321
exhale_f50000_fat125_p2_s0,60,89.2655998014241,0.886367716840975,12.7277914332592
exhale_f50000_fat125_p2_s0,70,64.1112150572028,1.04666228161208,5.53243107157595
exhale_f50000_fat125_p2_s0,80,64.4204271905918,1.32283851722023,8.12669865026421
exhale_f50000_fat125_p2_s0,90,52.3547372018991,1.58746634197795,4.67826546878821
exhale_f50000_fat125_p2_s0,110,51.2657692959159,2.1186187017564,5.81346909664849
exhale_f50000_fat125_p2_s0,120,46.0630484149542,2.43464911763543,3.48399138121996
exhale_f50000_fat125_p2_s0,130,42.6856430667809,2.528256089986,3.25370611513932
exhale_f50000_fat125_p2_s0,140,40.7551991109592,2.78324014456216,1.71548233250302
