case_id,state,frequency_hz,fat_factor,free_parameters,synthetic,rho1,rho2,rho3_fat,rho_bone,rho_heart,rmse_ohm,max_residual_ohm,bound_rho1,bound_rho2,bound_rho3,condition_number,smin_ohm,quadrature_max_difference_ohm,quadrature_within_tolerance,two_start_log_difference,exitflag,iterations,vector_evaluations,CEM_solves,seconds,max_relative_residual,max_reciprocity_ohm
exhale_f50000_fat100_p2_s0,exhale,50000,1,2,0,3.86416770471039,24.0740738065835,23.1086075206695,48.4451260579635,5.11678442048387,10.4107285254761,23.5493845974851,0,1,0,51.5717955333974,3.57821590022576,0.072560945398493,1,2.52935450362202e-11,3,8,19,171,345.8330815,9.21070153666139e-10,7.105427357601e-14
exhale_f100000_fat100_p2_s0,exhale,100000,1,2,0,3.86637511521545,24.0740738065838,23.040605218284,48.0976735255785,4.64880905754772,10.4052665806509,23.5384693211254,0,1,0,51.5854471409895,3.57632347560845,0.0722381891954456,1,3.10507175527164e-12,3,10,21,189,335.1427034,8.40473335821143e-10,9.9475983006414e-14
exhale_f50000_fat075_p2_s0,exhale,50000,0.75,2,0,4.05600445392008,24.0740738065685,17.3314556405021,48.4451260579635,5.11678442048387,9.55420533909686,21.6958160683432,0,1,0,49.8791353827561,3.62089611477621,0.0453756981069517,1,6.27027318955697e-11,3,8,20,180,300.2091627,9.32185364315485e-10,8.5265128291212e-14
exhale_f50000_fat125_p2_s0,exhale,50000,1.25,2,0,3.73943073329518,24.0740738022531,28.8857594008369,48.4451260579635,5.11678442048387,11.0273110424081,24.8536027182325,0,1,0,52.9624557424027,3.53896650804867,0.0992306328415964,1,3.58601592864716e-10,3,10,22,198,351.5136316,1.037694983116e-09,9.9475983006414e-14
