state,L_mm,rho1,rho2,branch_index,residual_ohm,within_literature_bounds
inhale,50,5.1589775604167665,0.10000000000000001,0,4.2632564145606011e-14,False
inhale,50,5.1588812455724682,0.10115794542598985,0,7.1054273576010019e-14,False
inhale,50,5.1587840080814349,0.10232929922807542,0,8.5265128291212022e-14,False
inhale,50,5.1586858373237288,0.10351421666793438,0,7.1054273576010019e-14,False
inhale,50,5.1585867226802993,0.10471285480508996,0,5.6843418860808015e-14,False
inhale,50,5.1584866535329867,0.10592537251772889,0,8.5265128291212022e-14,False
inhale,50,5.1583856192645374,0.10715193052376065,0,4.2632564145606011e-14,False
inhale,50,5.1582836092586373,0.10839269140212036,0,7.1054273576010019e-14,False
inhale,50,5.1581806128999119,0.10964781961431851,0,5.6843418860808015e-14,False
inhale,50,5.1580766195739614,0.11091748152624012,0,5.6843418860808015e-14,False
inhale,50,5.1579716186673696,0.11220184543019636,0,9.9475983006414026e-14,False
inhale,50,5.1578655995677209,0.11350108156723152,0,8.5265128291212022e-14,False
inhale,50,5.1577585516636351,0.11481536214968829,0,1.1368683772161603e-13,False
inhale,50,5.1576504643447683,0.11614486138403426,0,7.1054273576010019e-14,False
inhale,50,5.1575413270018515,0.11748975549395298,0,8.5265128291212022e-14,False
inhale,50,5.1574311290266968,0.11885022274370183,0,7.1054273576010019e-14,False
inhale,50,5.1573198598122234,0.12022644346174129,0,4.2632564145606011e-14,False
inhale,50,5.1572075087524869,0.12161860006463679,0,1.1368683772161603e-13,False
inhale,50,5.1570940652426804,0.12302687708123815,0,5.6843418860808015e-14,False
inhale,50,5.1569795186791847,0.1244514611771385,0,5.6843418860808015e-14,False
inhale,50,5.156863858459567,0.12589254117941673,0,7.1054273576010019e-14,False
inhale,50,5.156747073982614,0.12735030810166617,0,8.5265128291212022e-14,False
inhale,50,5.1566291546483516,0.12882495516931339,0,8.5265128291212022e-14,False
inhale,50,5.1565100898580729,0.13031667784522993,0,7.1054273576010019e-14,False
