point_id,kind,rho1,rho2
a0,anchor,1.9166941444952801,15.313787539627601
a1,anchor,7.1863863740360703,15.313787539627601
g00_00,grid,0.10000000000000001,0.10000000000000001
g00_01,grid,0.10000000000000001,0.15399265260594919
g00_02,grid,0.10000000000000001,0.23713737056616552
g00_03,grid,0.10000000000000001,0.36517412725483772
g00_04,grid,0.10000000000000001,0.56234132519034907
g00_05,grid,0.10000000000000001,0.86596432336006535
g00_06,grid,0.10000000000000001,1.333521432163324
g00_07,grid,0.10000000000000001,2.0535250264571463
g00_08,grid,0.10000000000000001,3.1622776601683795
g00_09,grid,0.10000000000000001,4.8696752516586308
g00_10,grid,0.10000000000000001,7.4989420933245583
g00_11,grid,0.10000000000000001,11.547819846894582
g00_12,grid,0.10000000000000001,17.782794100389228
g00_13,grid,0.10000000000000001,27.384196342643612
g00_14,grid,0.10000000000000001,42.169650342858226
g00_15,grid,0.10000000000000001,64.938163157621133
g00_16,grid,0.10000000000000001,100
g01_00,grid,0.15550791539731854,0.10000000000000001
g01_01,grid,0.15550791539731854,0.15399265260594919
g01_02,grid,0.15550791539731854,0.23713737056616552
g01_03,grid,0.15550791539731854,0.36517412725483772
g01_04,grid,0.15550791539731854,0.56234132519034907
g01_05,grid,0.15550791539731854,0.86596432336006535
g01_06,grid,0.15550791539731854,1.333521432163324
g01_07,grid,0.15550791539731854,2.0535250264571463
g01_08,grid,0.15550791539731854,3.1622776601683795
g01_09,grid,0.15550791539731854,4.8696752516586308
g01_10,grid,0.15550791539731854,7.4989420933245583
g01_11,grid,0.15550791539731854,11.547819846894582
g01_12,grid,0.15550791539731854,17.782794100389228
g01_13,grid,0.15550791539731854,27.384196342643612
g01_14,grid,0.15550791539731854,42.169650342858226
g01_15,grid,0.15550791539731854,64.938163157621133
g01_16,grid,0.15550791539731854,100
g02_00,grid,0.24182711751219577,0.10000000000000001
g02_01,grid,0.24182711751219577,0.15399265260594919
g02_02,grid,0.24182711751219577,0.23713737056616552
g02_03,grid,0.24182711751219577,0.36517412725483772
g02_04,grid,0.24182711751219577,0.56234132519034907
g02_05,grid,0.24182711751219577,0.86596432336006535
g02_06,grid,0.24182711751219577,1.333521432163324
g02_07,grid,0.24182711751219577,2.0535250264571463
g02_08,grid,0.24182711751219577,3.1622776601683795
g02_09,grid,0.24182711751219577,4.8696752516586308
g02_10,grid,0.24182711751219577,7.4989420933245583
g02_11,grid,0.24182711751219577,11.547819846894582
g02_12,grid,0.24182711751219577,17.782794100389228
g02_13,grid,0.24182711751219577,27.384196342643612
g02_14,grid,0.24182711751219577,42.169650342858226
g02_15,grid,0.24182711751219577,64.938163157621133
g02_16,grid,0.24182711751219577,100
g03_00,grid,0.37606030930863937,0.10000000000000001
g03_01,grid,0.37606030930863937,0.15399265260594919
g03_02,grid,0.37606030930863937,0.23713737056616552
g03_03,grid,0.37606030930863937,0.36517412725483772
g03_04,grid,0.37606030930863937,0.56234132519034907
g03_05,grid,0.37606030930863937,0.86596432336006535
g03_06,grid,0.37606030930863937,1.333521432163324
g03_07,grid,0.37606030930863937,2.0535250264571463
g03_08,grid,0.37606030930863937,3.1622776601683795
g03_09,grid,0.37606030930863937,4.8696752516586308
g03_10,grid,0.37606030930863937,7.4989420933245583
g03_11,grid,0.37606030930863937,11.547819846894582
g03_12,grid,0.37606030930863937,17.782794100389228
g03_13,grid,0.37606030930863937,27.384196342643612
g03_14,grid,0.37606030930863937,42.169650342858226
g03_15,grid,0.37606030930863937,64.938163157621133
g03_16,grid,0.37606030930863937,100
g04_00,grid,0.58480354764257325,0.10000000000000001
g04_01,grid,0.58480354764257325,0.15399265260594919
g04_02,grid,0.58480354764257325,0.23713737056616552
g04_03,grid,0.58480354764257325,0.36517412725483772
g04_04,grid,0.58480354764257325,0.56234132519034907
g04_05,grid,0.58480354764257325,0.86596432336006535
g04_06,grid,0.58480354764257325,1.333521432163324
g04_07,grid,0.58480354764257325,2.0535250264571463
g04_08,grid,0.58480354764257325,3.1622776601683795
