point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds
a0,anchor,variable_transverse,1.9166941444952801,15.313787539627601,50,33.324132221764103,33.056094163343097,0.13274649746784001,3.4019884376018902e-10,0,2.1495834
a0,anchor,variable_transverse,1.9166941444952801,15.313787539627601,60,32.761027372918001,32.901835949907699,0.20601580410103601,1.7339469022303402e-10,2.1316282072802999e-14,4.1688647000000003
a0,anchor,variable_transverse,1.9166941444952801,15.313787539627601,70,25.550231423910098,25.342416770515801,0.24800734912686001,1.20452258769043e-10,7.1054273576010003e-15,6.1914724999999997
a0,anchor,variable_transverse,1.9166941444952801,15.313787539627601,80,26.568631781589001,26.250457088323198,0.320640159019009,4.4246389136165799e-10,7.1054273576010003e-15,8.4181448000000003
a0,anchor,variable_transverse,1.9166941444952801,15.313787539627601,90,22.866061786095202,22.4442995797944,0.38077169418943402,1.62877682921416e-10,7.1054273576010003e-15,10.4683803
a0,anchor,variable_transverse,1.9166941444952801,15.313787539627601,110,21.539631635647901,21.2095532182211,0.50233953455717095,6.097189394001501e-10,7.1054273576010003e-15,12.4371752
a0,anchor,variable_transverse,1.9166941444952801,15.313787539627601,120,20.0971248559736,19.497627356271298,0.58323920815767705,3.0927477481134102e-10,7.1054273576010003e-15,14.5140397
a0,anchor,variable_transverse,1.9166941444952801,15.313787539627601,130,18.586388310099501,17.996153528077901,0.60283538417529003,6.3704022737296009e-10,1.0658141036401501e-14,16.384348599999999
a0,anchor,variable_transverse,1.9166941444952801,15.313787539627601,140,18.1433841543477,17.5036225765731,0.67138792566434402,3.8624044717482603e-10,3.5527136788005001e-15,18.390137299999999
a1,anchor,variable_transverse,7.1863863740360703,15.313787539627601,50,123.12898328331499,121.360082146945,1.02394403498113,3.54331212913396e-10,0,1.9785914
a1,anchor,variable_transverse,7.1863863740360703,15.313787539627601,60,122.795628847158,122.18435234839301,1.58573172261948,2.0990407126807401e-10,1.4210854715202001e-14,4.0855812
a1,anchor,variable_transverse,7.1863863740360703,15.313787539627601,70,94.008782522158299,92.066856845298304,1.9103261595071499,1.4222044860995301e-10,5.6843418860808002e-14,6.1098134999999996
a1,anchor,variable_transverse,7.1863863740360703,15.313787539627601,80,97.131386819723801,94.548766322925005,2.4531149222506201,4.9176587517660397e-10,2.8421709430404001e-14,8.1343505999999994
a1,anchor,variable_transverse,7.1863863740360703,15.313787539627601,90,82.701491964485299,79.659747434537707,2.92009832189225,2.44843717433901e-10,1.4210854715202001e-14,10.422597
a1,anchor,variable_transverse,7.1863863740360703,15.313787539627601,110,77.906189646537896,74.756493676793497,3.8768062102613601,7.2719205740809999e-10,4.2632564145605999e-14,12.4509381
a1,anchor,variable_transverse,7.1863863740360703,15.313787539627601,120,70.921625754152998,66.381024358223399,4.4916807008580601,2.3892584608197403e-10,1.4210854715202001e-14,14.457404
a1,anchor,variable_transverse,7.1863863740360703,15.313787539627601,130,65.226068347022505,60.587079895857002,4.6689065061369099,8.37373024764852e-10,0,16.462752500000001
a1,anchor,variable_transverse,7.1863863740360703,15.313787539627601,140,63.130603157084899,57.994302395627798,5.2477406922276897,4.6681909290148502e-10,1.4210854715202001e-14,18.409014200000001
g00_00,grid,variable_transverse,0.10000000000000001,0.10000000000000001,50,1.72433481540309,1.70551900611781,0.017387468159964201,6.5206333996265296e-11,2.2204460492503099e-16,2.1119902000000002
g00_00,grid,variable_transverse,0.10000000000000001,0.10000000000000001,60,1.6183025617198299,1.6018965126562801,0.026775054813381501,1.02477540069783e-10,4.4408920985006301e-16,4.2542358
g00_00,grid,variable_transverse,0.10000000000000001,0.10000000000000001,70,1.2729375833846099,1.24399791425194,0.032276404429166197,2.1141539506636301e-10,6.6613381477509402e-16,6.3219022999999996
g00_00,grid,variable_transverse,0.10000000000000001,0.10000000000000001,80,1.3198500645836,1.27807274783113,0.042511432587309897,1.3998699045318401e-10,0,8.2830013000000005
g00_00,grid,variable_transverse,0.10000000000000001,0.10000000000000001,90,1.1223504060370699,1.0719751084682401,0.049886648537635102,1.3804475394586301e-10,2.2204460492503099e-16,10.196372999999999
g00_00,grid,variable_transverse,0.10000000000000001,0.10000000000000001,110,1.0050796226154,0.94237639008914098,0.066352693694561996,1.14713721397515e-10,4.4408920985006301e-16,12.1424705
g00_00,grid,variable_transverse,0.10000000000000001,0.10000000000000001,120,0.93668615788073595,0.857937317118316,0.077984234715238507,2.8796579420282399e-10,1.11022302462516e-16,14.084890700000001
g00_00,grid,variable_transverse,0.10000000000000001,0.10000000000000001,130,0.85036168723134897,0.76847117288736699,0.081542192630769894,2.1858981882859101e-10,5.5511151231257797e-16,15.971099499999999
g00_00,grid,variable_transverse,0.10000000000000001,0.10000000000000001,140,0.81171480477634195,0.719804115101224,0.091660200526588298,3.0468385978393004e-10,5.5511151231257797e-16,17.9117997
g00_01,grid,variable_transverse,0.10000000000000001,0.15399265260594899,50,1.7315475806721401,1.7142470939486201,0.015869788070092001,7.096330867058779e-11,0,1.9623657000000001
g00_01,grid,variable_transverse,0.10000000000000001,0.15399265260594899,60,1.6294095990720201,1.61534413516029,0.0244394304741293,1.7826882153177501e-10,6.6613381477509402e-16,4.0479807000000001
g00_01,grid,variable_transverse,0.10000000000000001,0.15399265260594899,70,1.2863178959742101,1.2602398097284799,0.029422983259801899,2.25958790320583e-10,0,6.1743546
g00_01,grid,variable_transverse,0.10000000000000001,0.15399265260594899,80,1.3374652000599001,1.2994179024794901,0.038718779566145597,1.35757140282914e-10,4.4408920985006301e-16,8.2370975000000008
g00_01,grid,variable_transverse,0.10000000000000001,0.15399265260594899,90,1.1430085373933101,1.09715388478215,0.045381023651724001,2.5346499770927101e-10,4.4408920985006301e-16,10.2396175
g00_01,grid,variable_transverse,0.10000000000000001,0.15399265260594899,110,1.0324985008704,0.97604702435913304,0.060112084038457497,2.05005553113593e-10,6.6613381477509402e-16,12.0955862
g00_01,grid,variable_transverse,0.10000000000000001,0.15399265260594899,120,0.96887194840683899,0.89759666141402705,0.070479913823285598,3.91117137488105e-10,7.7715611723761007e-16,14.092128799999999
g00_01,grid,variable_transverse,0.10000000000000001,0.15399265260594899,130,0.88395074366856896,0.810166170995827,0.073414664433860105,3.7382502450456101e-10,7.7715611723761007e-16,15.958514900000001
g00_01,grid,variable_transverse,0.10000000000000001,0.15399265260594899,140,0.84940645755049005,0.76689921822164897,0.082241526820055394,3.8370578833026301e-10,5.5511151231257797e-16,17.880278400000002
g00_02,grid,variable_transverse,0.10000000000000001,0.23713737056616599,50,1.73793422149776,1.72286748969203,0.0136339332898443,1.65226606772459e-10,8.8817841970012494e-16,1.9811999
g00_02,grid,variable_transverse,0.10000000000000001,0.23713737056616599,60,1.6392465892727901,1.62862035468697,0.021004509611516401,3.1436571744461899e-10,2.2204460492503099e-16,4.0145966
g00_02,grid,variable_transverse,0.10000000000000001,0.23713737056616599,70,1.29815501302104,1.2762429556100801,0.025263953582221398,3.4616621460781402e-10,8.8817841970012494e-16,6.0890637999999999
g00_02,grid,variable_transverse,0.10000000000000001,0.23713737056616599,80,1.35303755429527,1.3204253163628901,0.033228185614335499,2.0749106015216801e-10,0,8.0663809999999998
g00_02,grid,variable_transverse,0.10000000000000001,0.23713737056616599,90,1.16125283704875,1.12187655015623,0.038915742163537201,5.5829183895760898e-10,8.8817841970012494e-16,10.084372800000001
g00_02,grid,variable_transverse,0.10000000000000001,0.23713737056616599,110,1.05662746309681,1.0089037638235101,0.051394349722597703,3.3092546046186302e-10,0,12.0632552
g00_02,grid,variable_transverse,0.10000000000000001,0.23713737056616599,120,0.99713649267672699,0.93616220582721399,0.060151766002246601,5.8094087753963704e-10,4.4408920985006301e-16,14.094511600000001
g00_02,grid,variable_transverse,0.10000000000000001,0.23713737056616599,130,0.91334647605566399,0.850493212327735,0.062464502841745199,5.4634044886050498e-10,1.11022302462516e-16,16.022674800000001
g00_02,grid,variable_transverse,0.10000000000000001,0.23713737056616599,140,0.882288795899274,0.81223609774503402,0.069772909550499695,8.4193181848998101e-10,2.2204460492503099e-16,17.973644700000001
g00_03,grid,variable_transverse,0.10000000000000001,0.365174127254838,50,1.7432807245891999,1.7307246074067399,0.0111215593851252,1.6263746052968399e-10,4.4408920985006301e-16,1.8926027999999999
