state,L1_mm,L2_mm,branch_index_L1,branch_index_L2,rho1,rho2,pair_max_residual_ohm,all_nine_rmse_ohm,within_literature_bounds,method
inhale,60,110,0,0,5.8792894032476619,25.92256353593914,2.5579538487363607e-13,7.0943512729462812,False,sampled branch sign change plus Brent refinement
inhale,60,140,0,0,5.9659708243666216,7.8624012906376484,2.8421709430404007e-14,8.0524398527537482,False,sampled branch sign change plus Brent refinement
inhale,70,90,0,0,7.1784796625798224,1.4342066415355585,9.9475983006414026e-14,13.487906056162895,False,sampled branch sign change plus Brent refinement
inhale,70,110,0,0,7.2650023155449137,0.73188147672804327,1.4352963262354024e-12,14.136251812941021,False,sampled branch sign change plus Brent refinement
inhale,70,120,0,0,6.9710606030562152,4.6480652495915136,2.2737367544323206e-13,12.527477078763063,False,sampled branch sign change plus Brent refinement
inhale,70,130,0,0,6.8048920354801252,12.08028561143264,1.7053025658242404e-13,12.377332543041504,True,sampled branch sign change plus Brent refinement
inhale,70,140,0,0,7.1100286885977999,2.1854795363105803,1.4210854715202004e-14,13.076378292684968,False,sampled branch sign change plus Brent refinement
inhale,80,110,0,0,6.3660602892621547,5.7731804630342705,1.9895196601282805e-13,8.7006406187962977,False,sampled branch sign change plus Brent refinement
inhale,80,120,0,0,6.105628173724619,29.024514881814422,2.1316282072803006e-13,7.6342652521968208,False,sampled branch sign change plus Brent refinement
inhale,80,140,0,0,6.4242429678867756,4.4083833191112651,1.1368683772161603e-13,9.0697249305663039,False,sampled branch sign change plus Brent refinement
inhale,90,110,0,0,7.4827048244966221,0.28806065287220273,4.2632564145606011e-14,15.674552791594818,False,sampled branch sign change plus Brent refinement
inhale,90,120,0,0,6.6218662722816131,8.0981974232459031,1.2789769243681803e-13,10.253936507724822,False,sampled branch sign change plus Brent refinement
inhale,90,130,0,0,6.2476970670115977,58.614802097288276,4.2632564145606011e-14,8.9067095160284993,False,sampled branch sign change plus Brent refinement
inhale,90,140,0,0,7.0232442322807547,2.3800405777897264,0,12.472167157293795,False,sampled branch sign change plus Brent refinement
inhale,110,140,0,0,6.5588038939951527,3.8083052330991207,2.8421709430404007e-14,9.6798389501323143,False,sampled branch sign change plus Brent refinement
inhale,120,140,0,0,8.2534048224429757,0.59422319962394166,2.7498003873915877e-12,22.14335644687883,False,sampled branch sign change plus Brent refinement
exhale,60,110,0,0,5.7237867664193711,10.595977884253349,2.5579538487363607e-13,6.6923379206617932,True,sampled branch sign change plus Brent refinement
exhale,60,120,0,0,5.6798092800815008,20.161194313522802,3.5527136788005009e-14,6.5019947029604994,True,sampled branch sign change plus Brent refinement
exhale,60,140,0,0,5.7814024621523012,5.4641039117065526,1.9895196601282805e-13,7.2698940653468789,False,sampled branch sign change plus Brent refinement
exhale,70,90,0,0,7.1233605968943579,0.10041714439546864,2.8421709430404007e-14,14.073840974084485,False,sampled branch sign change plus Brent refinement
exhale,70,120,0,0,6.8676207567442376,2.0874319783280448,1.2789769243681803e-13,12.54116351916039,False,sampled branch sign change plus Brent refinement
exhale,70,130,0,0,6.7015425495194307,5.3012871453792885,2.4158453015843406e-13,12.288996362613542,False,sampled branch sign change plus Brent refinement
exhale,70,140,0,0,6.9168417196084881,1.5327879945454417,1.4210854715202004e-14,12.728938280519122,False,sampled branch sign change plus Brent refinement
exhale,80,110,0,0,6.1044646271343996,3.9720916642751369,2.1316282072803006e-13,7.8768514561545748,False,sampled branch sign change plus Brent refinement
exhale,80,120,0,0,5.9203378525765267,10.378814368637215,2.1316282072803006e-14,7.097850640498252,True,sampled branch sign change plus Brent refinement
exhale,80,130,0,0,5.748342967752138,46.058264136080354,2.8421709430404007e-14,6.9254268047998044,False,sampled branch sign change plus Brent refinement
exhale,80,140,0,0,6.1262316768256868,3.5787730518369529,7.1054273576010019e-14,8.0054898993009225,False,sampled branch sign change plus Brent refinement
exhale,90,120,0,0,6.4378302542938881,4.0244774229615814,1.7053025658242404e-13,9.6841655593417446,False,sampled branch sign change plus Brent refinement
exhale,90,130,0,0,6.0734080930676413,15.411175597444011,4.2632564145606011e-14,8.2781738580368422,True,sampled branch sign change plus Brent refinement
exhale,90,140,0,0,6.6538547146008584,2.0264908067878564,1.4210854715202004e-14,10.870451909441464,False,sampled branch sign change plus Brent refinement
exhale,110,140,0,0,6.1768257004253782,3.3799750489783946,8.5265128291212022e-14,8.2054258448273405,False,sampled branch sign change plus Brent refinement
exhale,120,140,0,0,7.3311948789528545,0.95342625704161332,3.5527136788005009e-14,15.945032975238879,False,sampled branch sign change plus Brent refinement
