point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds
a1,anchor,variable_transverse,7.18638637403607,15.3137875396276,50,123.128983283315,121.360082146945,1.02394403498113,3.54331212913396e-10,0,1.9785914
a1,anchor,variable_transverse,7.18638637403607,15.3137875396276,60,122.795628847158,122.184352348393,1.58573172261948,2.09904071268074e-10,1.4210854715202e-14,4.0855812
a1,anchor,variable_transverse,7.18638637403607,15.3137875396276,70,94.0087825221583,92.0668568452983,1.91032615950715,1.42220448609953e-10,5.6843418860808e-14,6.1098135
a1,anchor,variable_transverse,7.18638637403607,15.3137875396276,80,97.1313868197238,94.548766322925,2.45311492225062,4.91765875176604e-10,2.8421709430404e-14,8.1343506
a1,anchor,variable_transverse,7.18638637403607,15.3137875396276,90,82.7014919644853,79.6597474345377,2.92009832189225,2.44843717433901e-10,1.4210854715202e-14,10.422597
a1,anchor,variable_transverse,7.18638637403607,15.3137875396276,110,77.9061896465379,74.7564936767935,3.87680621026136,7.271920574081e-10,4.2632564145606e-14,12.4509381
a1,anchor,variable_transverse,7.18638637403607,15.3137875396276,120,70.921625754153,66.3810243582234,4.49168070085806,2.38925846081974e-10,1.4210854715202e-14,14.457404
a1,anchor,variable_transverse,7.18638637403607,15.3137875396276,130,65.2260683470225,60.587079895857,4.66890650613691,8.37373024764852e-10,0,16.4627525
a1,anchor,variable_transverse,7.18638637403607,15.3137875396276,140,63.1306031570849,57.9943023956278,5.24774069222769,4.66819092901485e-10,1.4210854715202e-14,18.4090142
g00_01,grid,variable_transverse,0.1,0.153992652605949,50,1.73154758067214,1.71424709394862,0.015869788070092,7.09633086705878e-11,0,1.9623657
g00_01,grid,variable_transverse,0.1,0.153992652605949,60,1.62940959907202,1.61534413516029,0.0244394304741293,1.78268821531775e-10,6.66133814775094e-16,4.0479807
g00_01,grid,variable_transverse,0.1,0.153992652605949,70,1.28631789597421,1.26023980972848,0.0294229832598019,2.25958790320583e-10,0,6.1743546
g00_01,grid,variable_transverse,0.1,0.153992652605949,80,1.3374652000599,1.29941790247949,0.0387187795661456,1.35757140282914e-10,4.44089209850063e-16,8.2370975
g00_01,grid,variable_transverse,0.1,0.153992652605949,90,1.14300853739331,1.09715388478215,0.045381023651724,2.53464997709271e-10,4.44089209850063e-16,10.2396175
