label,x_mm,y_mm,z_mm
I_plus,-174.929199,-21.034639,-55.794201
V_plus,-170.113098,-21.034639,-91.914673
V_minus,-162.523697,-18.002621,-161.145599
I_minus,-160.177902,-14.9706,-194.255997
