label,x_mm,y_mm,z_mm
I_plus,-169.7276,-18.79294,-100.944801
V_plus,-167.805801,-18.002621,-112.984901
V_minus,-164.9496,-18.002621,-137.065201
I_minus,-163.678604,-18.002621,-150.368896
