label,parameter,signed_step,q_coarse,q_fine,Z_coarse_ohm,Z_fine_ohm,Z_fine_minus_coarse_ohm,Z_difference_relative_to_coarse
baseline,baseline,0.0,16384,16384,166.1687434270957,166.80666340152288,0.6379199744271773,0.003838988977533287
volume_fraction:-0.01,volume_fraction,-0.01,16384,16384,166.28147980386922,166.91793611626338,0.6364563123941593,0.003827583884536428
volume_fraction:-0.005,volume_fraction,-0.005,16384,16384,166.2249345083934,166.86222791217213,0.6372934037787275,0.003833921822038966
volume_fraction:+0.005,volume_fraction,0.005,16384,16384,166.11306288082622,166.75102107477642,0.6379581939501975,0.0038405058752536826
volume_fraction:+0.01,volume_fraction,0.01,16384,16384,166.05663222797625,166.69568909939136,0.6390568714151073,0.0038484272674984593
