label,parameter,signed_step,q_coarse,q_fine,Z_coarse_ohm,Z_fine_ohm,Z_fine_minus_coarse_ohm,Z_difference_relative_to_coarse
baseline,baseline,0.0,16384,16384,165.79844870356382,166.41749318056551,0.6190444770016938,0.003733716942723045
volume_fraction:-0.01,volume_fraction,-0.01,16384,16384,165.89611446664705,166.5089865768905,0.612872110243444,0.003694312625788835
volume_fraction:-0.005,volume_fraction,-0.005,16384,16384,165.84716863187163,166.46292750833425,0.6157588764626212,0.0037128090973287072
volume_fraction:+0.005,volume_fraction,0.005,16384,16384,165.72467372418225,166.33832651654788,0.6136527923656274,0.0037028450777760336
volume_fraction:+0.01,volume_fraction,0.01,16384,16384,165.65269962368447,166.26300497003908,0.6103053463546075,0.003684246304111232
