request_id_1024,kind_1024,quadrature_points_1024,frequency_hz,state,model,rho1_1024,rho2_1024,rho_bone_1024,rho_heart_1024,rho_fat_1024,L_mm,Z_1024,relative_residual_1024,reciprocity_abs_1024,request_id_256,kind_256,quadrature_points_256,rho1_256,rho2_256,rho_bone_256,rho_heart_256,rho_fat_256,Z_256,relative_residual_256,reciprocity_abs_256,difference_ohm,difference_pct,within_numeric_tolerance
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,49.5148710695426,1.73570358666392e-10,0.0,q256_50000_inhale_ts_without_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,49.5147028724135,1.96138184029771e-10,2.1316282072803e-14,0.00016819712909921236,0.0003396901283717027,True
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,49.0363803298847,2.88149141752214e-10,1.4210854715202e-14,q256_50000_inhale_ts_without_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,49.0361034619584,2.69292846611725e-10,2.1316282072803e-14,0.0002768679263027707,0.0005646173808918692,True
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,38.2010232900998,2.44377274362781e-10,1.4210854715202e-14,q256_50000_inhale_ts_without_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,38.2006796475042,2.5247794321914005e-10,3.5527136788004997e-14,0.0003436425955953837,0.0008995638493391938,True
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,39.7530895230787,2.89514127217716e-10,2.1316282072803e-14,q256_50000_inhale_ts_without_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,39.7526292552255,3.23374091251077e-10,2.8421709430404e-14,0.00046026785319952523,0.0011578165589678664,True
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,34.2790654117418,2.25930056910866e-10,1.4210854715202e-14,q256_50000_inhale_ts_without_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,34.2785145063565,2.65153014803364e-10,0.0,0.0005509053852961188,0.0016071190351281109,True
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,32.4987427538269,2.19318949598812e-10,1.4210854715202e-14,q256_50000_inhale_ts_without_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,32.4980445749418,6.879846920569771e-10,0.0,0.000698178885102152,0.0021483258302967354,True
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,30.2867247801101,4.45581292082381e-10,0.0,q256_50000_inhale_ts_without_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,30.2859851156445,4.90293043563992e-10,3.5527136788005e-15,0.0007396644655983664,0.0024422068446440896,True
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,130,28.0691417780836,3.88805284220508e-10,1.77635683940025e-14,q256_50000_inhale_ts_without_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,28.0684941070523,5.81992166912213e-10,0.0,0.0006476710313023659,0.0023074130175510664,True
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,140,27.4805695697899,4.97023258000372e-10,3.5527136788005e-15,q256_50000_inhale_ts_without_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,27.480080542398,5.044656713471661e-10,1.4210854715202e-14,0.0004890273919002652,0.0017795387779657437,True
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,82.6566201768069,1.79904025497226e-10,1.4210854715202e-14,q256_50000_inhale_ts_with_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,82.8807377024652,1.03688172453378e-10,1.4210854715202e-14,-0.22411752565830056,-0.27114286209489485,False
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,77.170632198706,3.17226245930504e-10,2.8421709430404e-14,q256_50000_inhale_ts_with_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,77.4002466098509,3.9135416378188803e-10,0.0,-0.2296144111448939,-0.29754118192742246,False
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,53.5425927485059,3.49744307159519e-10,7.105427357601e-15,q256_50000_inhale_ts_with_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,53.6182064254793,3.82878635725656e-10,1.4210854715202e-14,-0.07561367697339705,-0.14122154548727384,False
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,56.1520002796724,3.92090876243151e-10,7.105427357601e-15,q256_50000_inhale_ts_with_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,56.1632100903555,1.1313047748847701e-10,0.0,-0.011209810683098453,-0.019963332788264926,True
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,44.2207443270525,2.46962967163197e-10,1.4210854715202e-14,q256_50000_inhale_ts_with_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,44.2601574428375,4.33194210270528e-10,2.1316282072803e-14,-0.03941311578500262,-0.08912811483566828,True
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,43.6476072216299,5.12266051682029e-10,3.5527136788004997e-14,q256_50000_inhale_ts_with_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,43.6227547178061,2.00921977030048e-10,7.105427357601e-15,0.024852503823794336,0.0569389833848177,True
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,38.6453836412385,5.09869507900431e-10,0.0,q256_50000_inhale_ts_with_fat,literature,256,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,38.6029265102861,1.1026409826114502e-09,0.0,0.04245713095239978,0.1098633962248825,True
