request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat,L_mm,Z,relative_residual,reciprocity_abs
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,49.5147028724135,1.96138184029771e-10,2.1316282072803e-14
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,49.0361034619584,2.69292846611725e-10,2.1316282072803e-14
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,38.2006796475042,2.5247794321914e-10,3.5527136788005e-14
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,39.7526292552255,3.23374091251077e-10,2.8421709430404e-14
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,34.2785145063565,2.65153014803364e-10,0
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,32.4980445749418,6.87984692056977e-10,0
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,30.2859851156445,4.90293043563992e-10,3.5527136788005e-15
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,130,28.0684941070523,5.81992166912213e-10,0
q256_50000_inhale_ts_without_fat,literature,256,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,140,27.480080542398,5.04465671347166e-10,1.4210854715202e-14
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,82.8807377024652,1.03688172453378e-10,1.4210854715202e-14
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,77.4002466098509,3.91354163781888e-10,0
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,53.6182064254793,3.82878635725656e-10,1.4210854715202e-14
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,56.1632100903555,1.13130477488477e-10,0
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,44.2601574428375,4.33194210270528e-10,2.1316282072803e-14
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,43.6227547178061,2.00921977030048e-10,7.105427357601e-15
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,38.6029265102861,1.10264098261145e-09,0
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,130,35.8579905820442,1.9509085889275e-10,0
q256_50000_inhale_ts_with_fat,literature,256,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,140,33.268297818305,8.24207790930467e-10,7.105427357601e-15
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,50,49.0807716878918,1.95256609133419e-10,1.4210854715202e-14
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,60,48.3658328972376,2.67002728401295e-10,2.1316282072803e-14
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,70,37.3909556794356,2.75854920638543e-10,0
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,80,38.7107370789631,2.71764626702316e-10,7.105427357601e-15
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,90,33.0375973582512,4.16807678119982e-10,0
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,110,30.8487711616724,4.84996390812479e-10,2.1316282072803e-14
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,120,28.3660906251709,4.05308598950811e-10,1.06581410364015e-14
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,130,26.0602818078257,3.71218438679619e-10,0
q256_50000_exhale_ts_without_fat,literature,256,50000,exhale,ts_without_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,140,25.218635855916,4.35576364995925e-10,2.1316282072803e-14
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,50,82.247489547669,4.08645272110491e-11,5.6843418860808e-14
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,60,76.3746376731867,2.61710565579762e-10,4.2632564145606e-14
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,70,52.4052128388434,2.93534594227555e-10,0
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,80,54.628455839351,1.0488395992228e-10,0
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,90,42.4163813083356,4.71093246358117e-10,2.1316282072803e-14
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,110,41.1499538148997,1.5406032364177e-10,7.105427357601e-15
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,120,35.7444450155017,8.35085502931836e-10,7.105427357601e-15
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,130,32.8686104008581,1.71494479767458e-10,7.105427357601e-15
q256_50000_exhale_ts_with_fat,literature,256,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,140,29.9536408750813,7.60162472574018e-10,1.4210854715202e-14
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,50,48.1436209869808,3.55585051712378e-10,0
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,60,47.6556899994037,3.54207192187073e-10,0
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,70,37.1304509715098,4.88731695819e-10,7.105427357601e-15
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,80,38.6375771318897,5.15079368460451e-10,0
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,90,33.3133456255217,6.32769524081619e-10,1.4210854715202e-14
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,110,31.5672513946758,5.79431582071933e-10,7.105427357601e-15
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,120,29.4202963133511,7.4727072728427e-10,7.105427357601e-15
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,27.2616888745621,8.12655487177675e-10,3.5527136788005e-15
q256_100000_inhale_ts_without_fat,literature,256,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,140,26.6848897176681,8.75404626494941e-10,7.105427357601e-15
q256_100000_inhale_ts_with_fat,literature,256,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,50,80.9210060817774,1.11880009421841e-10,0
q256_100000_inhale_ts_with_fat,literature,256,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,60,75.4464517762455,4.05219516860306e-10,1.4210854715202e-14
q256_100000_inhale_ts_with_fat,literature,256,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,70,52.2139034957564,4.12844489982955e-10,2.8421709430404e-14
q256_100000_inhale_ts_with_fat,literature,256,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,80,54.7380061943532,1.75987534403069e-10,1.4210854715202e-14
q256_100000_inhale_ts_with_fat,literature,256,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,90,43.0953455683074,3.27069717164763e-10,7.105427357601e-15
q256_100000_inhale_ts_with_fat,literature,256,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,110,42.4657896258947,1.53603826948709e-10,2.1316282072803e-14
q256_100000_inhale_ts_with_fat,literature,256,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,120,37.550571783939,5.58874991286221e-10,7.105427357601e-15
q256_100000_inhale_ts_with_fat,literature,256,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,34.8738918496134,3.04429798820398e-10,1.4210854715202e-14
