frequency_hz,state,L_mm,ts_with_fat,ts_without_fat,previous_four_tissue,Z_experiment,fat_delta_ohm,fat_delta_pct,segmentation_delta_ohm,combined_delta_ohm
50000,exhale,50,82.0232162498488,49.0808894752766,48.9529676082627,83.134,32.9423267745722,67.1184388195861,0.12792186701389596,33.0702486415861
50000,exhale,60,76.1463321822098,48.3660457139558,48.1749191740566,97.44,27.780286468254005,57.43758055506723,0.19112653989920148,27.971413008153206
50000,exhale,70,52.3305894899176,37.3912358359386,37.1698625588266,85.633,14.939353653978998,39.954158561456346,0.22137327711200072,15.160726931090998
50000,exhale,80,54.6176279051548,38.7111267522161,38.4286261504777,79.63,15.906501152938695,41.090256180745484,0.2825006017384055,16.1890017546771
50000,exhale,90,42.3771577518478,33.038083558789,32.7173528152934,70.327,9.3390741930588,28.26760267871034,0.32073074349559505,9.659804936554394
50000,exhale,110,41.1745844737692,30.8494312924807,30.4478216666687,61.474,10.325153181288503,33.46950899482279,0.4016096258120001,10.726762807100503
50000,exhale,120,35.7873883205213,28.3668542907274,27.9040687679863,57.685,7.420534029793902,26.159171382706113,0.4627855227411004,7.883319552535003
50000,exhale,130,32.8846282293664,26.0610626344328,25.5829110771606,55.784,6.823565594933598,26.182990657940636,0.47815155727220215,7.3017171522058
50000,exhale,140,29.9593756290487,25.2193969885428,24.6749210583929,46.828,4.7399786405059,18.79497215044149,0.5444759301499005,5.2844545706558
50000,inhale,50,82.6566201768069,49.5148710695426,49.3634814314353,85.689,33.141749107264296,66.9329201336653,0.15138963810730388,33.2931387453716
50000,inhale,60,77.170632198706,49.0363803298847,48.8093913088346,101.102,28.134251868821302,57.37424271439379,0.22698902105010177,28.361240889871404
50000,inhale,70,53.5425927485059,38.2010232900998,37.9337388079925,88.678,15.341569458406106,40.160100795996314,0.26728448210729994,15.608853940513406
50000,inhale,80,56.1520002796724,39.7530895230787,39.4122081608226,83.943,16.3989107565937,41.25191514252822,0.34088136225609844,16.7397921188498
50000,inhale,90,44.2207443270525,34.2790654117418,33.8852660072479,74.573,9.941678915310703,29.002187766488305,0.3937994044938975,10.3354783198046
50000,inhale,110,43.6476072216299,32.4987427538269,31.9944637583594,65.581,11.148864467802994,34.30552545448902,0.5042789954675015,11.653143463270496
50000,inhale,120,38.6453836412385,30.2867247801101,29.7032907340914,62.821,8.358658861128404,27.598424464231613,0.5834340460186986,8.942092907147103
50000,inhale,130,35.8732076732257,28.0691417780836,27.4596960722713,60.925,7.804065895142099,27.803008573762366,0.609445705812302,8.4135116009544
50000,inhale,140,33.2727344354678,27.4805695697899,26.7859127405722,50.103,5.792164865677897,21.07731010075342,0.6946568292176991,6.486821694895596
100000,exhale,50,80.083275684737,47.7240320578912,47.5995226896372,83.134,32.3592436268458,67.80492391672338,0.12450936825400305,32.483752995099806
100000,exhale,60,74.2262701171807,47.0076312418959,46.821611488744,97.44,27.218638875284803,57.90259614491272,0.18601975315190344,27.404658628436707
100000,exhale,70,50.9649879929442,36.34755568945,36.1321411501008,85.633,14.617432303494205,40.21572297291222,0.2154145393491973,14.832846842843402
100000,exhale,80,53.2416223455108,37.6300754457586,37.355142716909,79.63,15.611546899752199,41.48688705728286,0.2749327288495991,15.886479628601798
100000,exhale,90,41.271716644053,32.1134573799123,31.801384014138,70.327,9.158259264140703,28.518446817468504,0.312073365774296,9.470332629915
100000,exhale,110,40.0955761140317,29.972520297385,29.5818495799687,61.474,10.123055816646701,33.7744564561356,0.3906707174162989,10.513726534063
100000,exhale,120,34.8248452450005,27.5636700403764,27.1134406202655,57.685,7.261175204624102,26.34328155135957,0.45022942011090095,7.711404624735003
100000,exhale,130,31.9947587168864,25.3195031183605,24.854374526801,55.784,6.675255598525897,26.364086085422898,0.4651285915595018,7.140384190085399
100000,exhale,140,29.1187814131605,24.4976793145292,23.9680247675901,46.828,4.621102098631301,18.86342799781282,0.5296545469390992,5.1507566455704
100000,inhale,50,80.6962333110385,48.1437837481303,47.9964447977857,85.689,32.552449562908194,67.61506269056468,0.1473389503446043,32.6997885132528
100000,inhale,60,75.2181054269441,47.6559582691725,47.4350451643654,101.102,27.562147157771605,57.83567922838496,0.2209131048071029,27.783060262578708
100000,inhale,70,52.1383989884088,37.1307842570313,36.8706903098791,88.678,15.007614731377501,40.4182541028219,0.2600939471521997,15.2677086785297
100000,inhale,80,54.7269778168747,38.638023870083,38.3062433943989,83.943,16.088953946791698,41.64020913929089,0.3317804756841056,16.420734422475803
100000,inhale,90,43.0565729200388,33.313880722812,32.9306572147448,74.573,9.742692197226802,29.24514342321998,0.3832235080672035,10.125915705294005
100000,inhale,110,42.4902715687248,31.5679302802799,31.077236751985,65.581,10.922341288444901,34.599484956630036,0.4906935282948979,11.413034816739799
100000,inhale,120,37.5923978513847,29.4210165794237,28.8531829792643,62.821,8.171381271961003,27.773959645146512,0.5678336001593998,8.739214872120403
100000,inhale,130,34.8888454029105,27.2623212449585,26.6691733138106,60.925,7.626524157951998,27.974595741227784,0.5931479311479002,8.219672089099898
100000,inhale,140,32.327183091882,26.6853695490574,26.0092336111969,50.103,5.6418135428246,21.141972692013496,0.6761359378604972,6.3179494806850975
