tissue,previous_volume_ml,new_volume_ml,fractional_overlap_dice
lung,4216.73327255054,4173.431125722713,0.9112066061903188
bone,813.0386994337249,1292.285099053371,0.4395600136099832
heart,768.8311395064223,578.3564547998777,0.7553011146502486
