request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat,L_mm,Z,relative_residual,reciprocity_abs,Z_previous_four_tissue,Z_experiment,residual_ohm,residual_pct
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,49.5148710695426,1.73570358666392e-10,0.0,49.3634814314353,85.689,-36.17412893045739,-42.21560402205346
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,60,49.0363803298847,2.88149141752214e-10,1.4210854715202e-14,48.8093913088346,101.102,-52.065619670115304,-51.49811049248808
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,70,38.2010232900998,2.44377274362781e-10,1.4210854715202e-14,37.9337388079925,88.678,-50.4769767099002,-56.92164540235481
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,80,39.7530895230787,2.89514127217716e-10,2.1316282072803e-14,39.4122081608226,83.943,-44.1899104769213,-52.642758153653425
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,90,34.2790654117418,2.25930056910866e-10,1.4210854715202e-14,33.8852660072479,74.573,-40.293934588258196,-54.03287327619675
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,110,32.4987427538269,2.19318949598812e-10,1.4210854715202e-14,31.9944637583594,65.581,-33.0822572461731,-50.44488075231103
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,120,30.2867247801101,4.45581292082381e-10,0.0,29.7032907340914,62.821,-32.5342752198899,-51.7888528038234
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,130,28.0691417780836,3.88805284220508e-10,1.77635683940025e-14,27.4596960722713,60.925,-32.85585822191639,-53.928368029407295
q1024_50000_inhale_ts_without_fat,literature,1024,50000,inhale,ts_without_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,140,27.4805695697899,4.97023258000372e-10,3.5527136788005e-15,26.7859127405722,50.103,-22.622430430210102,-45.151848053430136
q1024_50000_inhale_ts_with_fat,literature,1024,50000,inhale,ts_with_fat,2.84229947307531,9.74127148952717,48.4451260579635,5.11678442048387,23.1086075206695,50,82.6566201768069,1.79904025497226e-10,1.4210854715202e-14,49.3634814314353,85.689,-3.0323798231930965,-3.5388204124136085
