quadrature_points,tissue,volume_ml,nonzero_elements
256,soft_background,11096.700836985025,626897
256,lung,4173.827897383801,59411
256,bone,1290.5997575973329,33782
256,heart,578.0989043953597,2533
256,fat,3031.535561971819,439966
1024,soft_background,11096.781894847587,634586
1024,lung,4173.431125722712,60079
1024,bone,1292.2850990533711,35244
1024,heart,578.3564547998775,2603
1024,fat,3029.9083839097934,449926
